№ п/п;Сокращенное наименование ОУ;Руководитель;Телефоны;Электронный адрес;Официальный сайт;Общая информация об учреждении на официальном сайте для размещения информации о государственных (муниципальных) учреждениях
1;МБУ «Школа № 1»;Афанасьева Любовь Михайловна;26-80-93;school1@edu.tgl.ru;https://school1.tgl.net.ru;https://bus.gov.ru/agency/103372
2;МБУ «Школа № 2»;Кудряшова Анастасия Александровна;45-21-91;school2@edu.tgl.ru;https://school2.tgl.net.ru;https://bus.gov.ru/agency/103406
3;МБУ «Школа № 3»;Кутепова Ольга Евгеньевна;22-06-68;school3@edu.tgl.ru;https://school3.tgl.net.ru;https://bus.gov.ru/agency/112252
4;МБУ «Школа № 4»;Гашнева Ирина Владимировна;22-54-74;school4@edu.tgl.ru;https://school4.tgl.net.ru;https://bus.gov.ru/agency/101519
5;МБУ «Школа № 5»;"совмещение должности директора
Косенкова Елена Александровна";22-04-60;school5@edu.tgl.ru;https://school5.tgl.net.ru;https://bus.gov.ru/agency/101521
6;МБУ «Лицей № 6»;Мицук Елена Юрьевна;24-26-53;school6@edu.tgl.ru;https://school6.tgl.net.ru;https://bus.gov.ru/agency/124288
7;МБОУ «Гимназия № 9»;Бакулина Татьяна Николаевна;21-59-12;gimn9@edu.tgl.ru;https://gimnasium9.tgl.net.ru;https://bus.gov.ru/agency/94731
8;МБУ «Школа № 10»;Жилкина Елена Александровна;28-15-76;school10@edu.tgl.ru;https://school10.tgl.net.ru;https://bus.gov.ru/agency/94741
9;МБУ «Школа № 11»;Якунина Лариса Владимировна;97-49-09;school11@edu.tgl.ru;https://school11.tgl.net.ru;https://bus.gov.ru/agency/94733
10;МБУ «Школа № 13»;Торопова Наталья Юрьевна;95-00-35;school13@edu.tgl.ru;http://мбу13тольятти.рф;https://bus.gov.ru/agency/112246
11;МБУ «Школа № 14»;Замолоцкая Ирина Владимировна;45-16-31;school14@edu.tgl.ru;https://school14.edutgl.ru;https://bus.gov.ru/agency/113460
12;МБУ «Школа № 15»;Евменов Вадим Николаевич;45-20-29;school15@edu.tgl.ru;https://school15.tgl.ru;https://bus.gov.ru/agency/128686
13;МБУ «Школа № 16»;Афонин Олег Александрович;31-88-90;school16@edu.tgl.ru;https://school16.tgl.net.ru;https://bus.gov.ru/agency/101512
14;МБУ «Школа № 18»;Голикова Светлана Викторовна;24-20-30;school18@edu.tgl.ru;https://school18.tgl.net.ru;https://bus.gov.ru/agency/8715
15;МБУ «Лицей № 19»;Кизилов Денис Сергеевич;28-05-73;school19@edu.tgl.ru;https://school19.tgl.ru;https://bus.gov.ru/agency/122997
16;МБУ «Школа № 20»;Солодовникова Оксана Николаевна;26-33-53;School20@edu.tgl.ru;https://school20.tgl.ru;https://bus.gov.ru/agency/167413
17;МБУ «Школа № 21»;Скопцова Людмила Александровна;70-88-22;School21@edu.tgl.ru;https://school21.tgl.net.ru;https://bus.gov.ru/agency/165666
18;МБУ «Школа № 23»;Бутина Ольга Егоровна;31-88-04;school23@edu.tgl.ru;https://school23.tgl.net.ru;https://bus.gov.ru/agency/112248
19;МБУ «Школа № 25»;Илюшкина Валентина Ивановна;40-50-90;School25@edu.tgl.ru;https://school25.tgl.net.ru;https://bus.gov.ru/agency/94025
20;МБУ «Школа № 26»;Афонина Ирина Ивановна;48-02-67;school26@edu.tgl.ru;https://school26.tgl.net.ru;https://bus.gov.ru/agency/115075
21;МБУ «Школа № 28»;Маряшова Анна Викторовна;37-30-74;school28@edu.tgl.ru;http://моу28тольятти.росшкола.рф;https://bus.gov.ru/agency/115964
22;МБУ «Школа № 31»;Марченко Алиса Рафаэлевна;37-79-88;school31@edu.tgl.ru;https://school31.tgl.net.ru;https://bus.gov.ru/agency/98200
