№ п/п;Сокращенное наименование ОУ;Руководитель;Телефоны;Электронный адрес;Официальный сайт;Общая информация об учреждении на официальном сайте для размещения информации о государственных (муниципальных) учреждениях
1;МБОУ ДО «Эдельвейс»;Мельникова Татьяна Алексеевна;30-09-71;tour@edu.tgl.ru;https://centrtur-tlt.ru;https://bus.gov.ru/agency/174867
2;МБОУДО «Центр Гранит»;Завьялов Павел Алексеевич;37-70-18;granit@edu.tgl.ru;https://granitsport.tgl.net.ru;https://bus.gov.ru/agency/66300
3;МБОУ ДО ГЦИР;Хаирова Анастасия Викторовна;37-94-99;office@cir.tgl.ru;https://cir.tgl.ru;https://bus.gov.ru/agency/117623
4;МБОУДО «ДДЮТ»;Леснякова Татьяна Ивановна;34-33-89;ddut@edu.tgl.ru;http://ddut.tgl.ru;https://bus.gov.ru/agency/178641
5;МБОУ ДО «Диалог»;Муравьева Людмила Александровна;48-69-44;dialog@edu.tgl.ru;https://dialog.tgl.net.ru;https://bus.gov.ru/agency/22281
6;МБОУ ДО ДМЦ;Исаков Артем Петрович;28-04-11;kymir@edu.tgl.ru;https://cymir.tgl.net.ru;https://bus.gov.ru/agency/100708
7;МБОУДО ДТДМ;Скрипинская Любовь Викторовна;26-52-20;dtdm@edu.tgl.ru;http://dm.tgl.ru;https://bus.gov.ru/agency/33330
8;МБОУ ДО «Мечта»;Хмель Татьяна Александровна;45-18-77;mechta@edu.tgl.ru;https://dream.tgl.net.ru;https://bus.gov.ru/agency/31286
9;МБОУ ДО «Планета»;Вдовина Елена Николаевна;30-24-56;planet@edu.tgl.ru;https://planeta.tgl.net.ru;https://bus.gov.ru/agency/164225
10;МБОУ ДО «Родник»;Ширяева Светлана Геннадьевна;24-18-30;rodnik@edu.tgl.ru;http://rodnik.tgl.ru;https://bus.gov.ru/agency/83054
11;МБОУ ДО «Свежий ветер»;Мурышова Светлана Владимировна;33-31-53;veter@edu.tgl.ru;https://jveter.ru;https://bus.gov.ru/agency/27857
