№ п/п;Сокращенное наименование ОУ;Руководитель;Телефоны;Электронный адрес;Официальный сайт;Общая информация об учреждении на официальном сайте для размещения информации о государственных (муниципальных) учреждениях
1;МБУ детский сад № 2 «Золотая искорка»;Новикова Ульяна Месафовна;36-62-98;chgard2@edu.tgl.ru;https://chgard2.tgl.ru;https://bus.gov.ru/agency/119617
2;МБУ детский сад  № 5 «Филиппок»;Данилова Виктория Владимировна;26-70-50;chgard5@edu.tgl.ru;https://chgard5.tgl.net.ru;https://bus.gov.ru/agency/164226
3;МБУ детский сад № 16 «Машенька»;Захарьева Алия Джафаровна;45-12-96;chgard16@edu.tgl.ru;https://chgard16.tgl.net.ru;https://bus.gov.ru/agency/121304
4;МБУ детский сад № 22 «Лучик»;Айзятова Анна Сергеевна;33-57-58;chgard22@edu.tgl.ru;https://chgard22.tgl.net.ru;https://bus.gov.ru/agency/24881
5;МБУ детский сад №23 «Волжские капельки»;Жаборовская Людмила Николаевна;45-12-66;chgard23@edu.tgl.ru;https://chgard23.tgl.net.ru;https://bus.gov.ru/agency/99213
6;МАОУ детский сад № 27 «Лесовичок»;Макеева Елена Викторовна;22-61-39;chgard27@edu.tgl.ru;https://chgard27.tgl.net.ru;https://bus.gov.ru/agency/90892
7;МБУ детский сад №33 «Мечта»;Мартынова Елена Александровна;24-55-74;chgard33@edu.tgl.ru;https://chgard33.tgl.net.ru;https://bus.gov.ru/agency/131605
8;МБУ детский сад № 34 «Золотая рыбка»;Линкова Наталья Михайловна;28-12-78;chgard34@edu.tgl.ru;https://chgard34.tgl.net.ru;https://bus.gov.ru/agency/180665
9;МБУ детский сад № 41 «Огонек»;Слободенюк Елена Владимировна;22-06-76;chgard41@edu.tgl.ru;https://chgard41.tgl.net.ru;https://bus.gov.ru/agency/123613
10;МБУ детский сад № 43 «Гнездышко»;Донькина Наталья Михайловна;79-92-02;chgard43@edu.tgl.ru;https://chgard43.tgl.net.ru;https://bus.gov.ru/agency/38118
11;МБУ детский сад № 45 «Яблонька»;Безрукова Лариса Васильевна;22-25-88;chgard45@edu.tgl.ru;https://chgard45.tgl.net.ru;https://bus.gov.ru/agency/112440
12;МБУ детский сад № 48 «Дружная семейка»;Лонеева Татьяна Викторовна;77-47-59;chgard48@edu.tgl.ru;https://chgard48.tgl.net.ru;https://bus.gov.ru/agency/101507
13;МАОУ детский сад № 49 «Весёлые нотки»;Кирсанова Татьяна Витальевна;26-13-97;chgard49@edu.tgl.ru;https://мбу49тольятти.росшкола.рф;https://bus.gov.ru/agency/21626
14;МБУ детский сад № 50 «Синяя птица»;Рузанова Ирина Анатольевна;36-32-07;chgard50@edu.tgl.ru;https://chgard50.tgl.net.ru;https://bus.gov.ru/agency/159277
15;МБУ детский сад № 51 «Чиполлино»;Сухомазова Инга Михайловна;26-22-53;chgard51@edu.tgl.ru;https://chgard51.tgl.net.ru;https://bus.gov.ru/agency/112243
16;МБУ детский сад № 53 «Чайка»;Степанова Светлана Леонидовна;48-05-18;chgard53@edu.tgl.ru;https://мдоу53тольятти.росшкола.рф;https://bus.gov.ru/agency/127091
17;МБУ детский сад № 54 «Алёнка»;совмещение должности заведующего Федосеева Светлана Вячеславовна;28-57-07;chgard54@edu.tgl.ru;https://chgard54.tgl.net.ru;https://bus.gov.ru/agency/39479
18;МБУ детский сад № 56 «Красная гвоздика»;Сандрацкая Екатерина Васильевна;48-78-31;chgard56@edu.tgl.ru;https://chgard56.tgl.net.ru;https://bus.gov.ru/agency/6698
19;МБУ детский сад № 64 «Журавленок»;Куренкова Оксана Владимировна;36-70-72;chgard64@edu.tgl.ru;https://chgard64.tgl.net.ru;https://bus.gov.ru/agency/41761
20;МАОУ детский сад № 69 «Веточка»;Грекова Екатерина Александровна;24-04-09;chgard69@edu.tgl.ru;https://chgard69.tgl.net.ru;https://bus.gov.ru/agency/122550
21;МБУ детский сад № 73 «Дельфин»;Андреенко Татьяна Александровна;37-27-15;chgard73@edu.tgl.ru;https://chgard73.tgl.net.ru;https://bus.gov.ru/agency/39101
22;МБУ детский сад № 76 «Куколка»;Лапина Наталья Геннадьевна;26-17-79;chgard76@edu.tgl.ru;https://chgard76.tgl.net.ru;https://bus.gov.ru/agency/90667
23;МАОУ детский сад № 79 «Гусельки»;Волик Яна Олеговна;37-24-61;chgard79@edu.tgl.ru;https://detsad79tlt.ru;https://bus.gov.ru/agency/99366
24;МАОУ ДС № 80 «Песенка»;Рогдева Татьяна Владимировна;35-27-35;chgard80@edu.tgl.ru;https://chgard80.tgl.net.ru;https://bus.gov.ru/agency/30513
25;МБУ детский сад № 81 «Медвежонок»;Козырева Галина Владимировна;37-63-71;chgard81@edu.tgl.ru;https://chgard81.tgl.net.ru;https://bus.gov.ru/agency/130043
26;МБУ д/с № 84 «Пингвин»;Волынцева Марина Евгеньевна;22-05-02;chgard84@edu.tgl.ru;https://chgard84.tgl.net.ru;https://bus.gov.ru/agency/96922
27;МБУ детский сад № 90 «Золотое зернышко»;Усова Лариса Анатольевна;31-63-95;chgard90@edu.tgl.ru;https://chgard90.tgl.net.ru;https://bus.gov.ru/agency/43616
