№ п/п;Наименование организации;Местонахождение организации;Контактная информация;Адрес электронной почты
1;Модельная центральная библиотека им. В.Н. Татищева;445021, Самарская область, г. Тольятти, б-р Ленина, 10;8(8482)26-03-81;zav_mcb_btlt@mail.ru
2;Модельная библиотека «Для друзей»;445035, Самарская область, г. Тольятти, ул. Голосова, 20;8(8482)22-29-53;lib1_btlt@mail.ru
3;Модельная библиотека национальных культур;445019, Самарская область, г. Тольятти,  ул. Горького, 42;8(8482)22-13-10;lib2_btlt@mail.ru
4;Библиотека №3 «Патриот»;445015, Самарская область, г. Тольятти, ул. Макарова, 8;8(8482)36-57-25;biblioteka3bt@yandex.ru
5;Библиотека № 4 «Нагорная»;445013, Самарская область, г. Тольятти, Майский пр-д, 66;8(8482)97-61-09;lib4_btlt@mail.ru
6;Библиотека иностранной литературы №5;445007, Самарская область, г. Тольятти, ул. Октябрьская, 1;8(8482)31-93-22;lib5_btlt@mail.ru
7;Библиотека №7  «Надежда»;445022, Самарская область, г. Тольятти, б-р 50 лет Октября, 55;8(8482)22-24-14;lib7_btlt@mail.ru
8;Библиотека искусств №8;445021, Самарская область, г. Тольятти, ул. Жилина, 44;8(8482)31-37-03;lib8_btlt@mail.ru
9;Библиотека №9 им. Ф. Наумова;445091,Самарская область,  пос. Федоровка, ул. Ингельберга, 1в;8(8482)97-81-87;biblioteka3bt@yandex.ru
10;Библиотека №10 «Фортуна»;445041, Самарская область, г. Тольятти, ул. Железнодорожная, 21;8(8482)95-47-14;lib10_btlt@mail.ru
11;Библиотека № 11 «На Лесной»;445019,Самарская область, г. Тольятти,  ул. Лесная, 46;8(8482)22-61-33;lib11_btlt@mail.ru
12;Библиотека №12 «Веста»;445012, Самарская область, г. Тольятти, ул. Коммунистическая, 63;8(8482)24-81-79;lib12_btlt@mail.ru
13;Библиотечно-сервисный центр №13;445008, Самарская область, г. Тольятти, ул. Л.Чайкиной, 71а;8(8482)24-24-79;lib13_btlt@mail.ru
14;Библиотека № 14 им.А.В. Луначарского;445042, Самарская область, г. Тольятти, б-р Луначарского, 1;8(8482)33-25-44;lib14_btlt@mail.ru
15;Библиотека № 15 «Берегиня»;445092, Самарская область, пос. Поволжский, ул. 60 лет СССР, 17;8(8482)41-07-74;lib15_btlt@mail.ru
16;Библиотека № 16 им. Г.К. Жукова;445051, Самарская область, г. Тольятти, ул. Жукова, 32;8(8482)35-96-56;lib16_btlt@mail.ru
17;Библиотека №17 «Диалог»;445039, Самарская область, г. Тольятти, б-р Гая, 18;8(8482)30-07-04;lib17_btlt@mail.ru
18;Модельная библиотека «Фолиант»;445039, Самарская область, г. Тольятти, ул. 40 лет Победы, 114;8(8482)30-78-00;lib18_btlt@mail.ru
19;Библиотека № 19 «Пилигрим»;445056, Самарская область, г. Тольятти, ул. 40 лет Победы, 68;8(8482)30-19-78;lib19_btlt@mail.ru
20;Библиотека № 20 «Эврика»;445044, Самарская область, г. Тольятти, б-р Космонавтов, 7;8(8482)30-16-13;lib20_btlt@mail.ru
21;Библиотека № 21 «Легенда»;445004, Самарская область, г. Тольятти, ул. Л. Толстого, 20;8(8482)22-88-07;lib21_btlt@mail.ru
22;Библиотека № 22 семейного чтения;445027, Самарская область, г. Тольятти, б-р Будённого, 3;8(8482)35-11-19;lib22_btlt@mail.ru
23;Библиотека № 23 детско-юношеская им. В. Балашова;445036,Самарская область, г. Тольятти,  б-р Курчатова, 3;8(8482)32-44-30;lib23_btlt@mail.ru
24;Библиотека № 24  им.В. Высоцкого;445024, Самарская область, г. Тольятти, ул. Революционная, 3/56;8(8482)37-13-32;lib24_btlt@mail.ru
25;Библиотека № 25 для слепых и слабовидящих;445026, Самарская область, г. Тольятти, ул. Революционная, 11В;8(8482)37-15-96;lib25_btlt@mail.ru
26;Библиотека № 26;445024, Самарская область, г. Тольятти, ул. Революционная, 7;8(8482)37-24-52;lib26_btlt@mail.ru
27;Библиотека № 27  «Экоград»;445039, Самарская область, г. Тольятти, ул. Свердлова, 5;8(8482)79-98-80;lib27_btlt@mail.ru
28;Библиотека № 28 актуального чтения;445039, Самарская область, г. Тольятти, ул. Свердлова, 10;8(8482)79-94-40;lib28_btlt@mail.ru
29;Центральная детская библиотека имени А.С. Пушкина ;445019, Самарская область, г. Тольятти, ул. Горького, 42 (Корпус №1)                 445047, Самарская область, г. Тольятти, ул. Тополиная, 5 (Корпус №2);8(8482)31-88-42;cdb@child-lib.ru
30;Детская библиотека №1 ;445028, Самарская область, г. Тольятти, ул. Революционная, 78;8(8482)95-75-55;db1@child-lib.ru
31;Детская библиотека №2 Центр эстетического воспитания;445045, Самарская область, г. Тольятти, ул. Ярославская, 27;8(8482)95-62-97;db2@child-lib.ru
32;Детская библиотека №3 ;445022, Самарская область, г. Тольятти, б-р 50 лет Октября, 55;8(8482)95-06-89;db3@child-lib.ru
33;Детская библиотека №4 ;445021, Самарская область, г. Тольятти, ул. Жилина, 44;8(8482)95-02-18;db4@child-lib.ru
34;Детская библиотека №5;445027, Самарская область, г. Тольятти, б-р Будённого, 4;;db5@child-lib.ru
35;Детская библиотека №6 Центр краеведческой информации для детей и молодежи ;445015, Самарская область, г. Тольятти, ул. Носова, 21;8(8482)31-15-84;db6@child-lib.ru
36;Детская библиотека №7 ;445039, Самарская область, г. Тольятти, ул. 40 лет Победы, 120;;db7@child-lib.ru
37;Детская библиотека №8 имени Г.А. Николаевской ;445008, Самарская область, г. Тольятти, ул. Л. Чайкиной, 71а;8(8482)95-25-64;db8@child-lib.ru
38;Детская библиотека №9 ;445057, Самарская область, г. Тольятти, ул. Юбилейная, 81;;db9@child-lib.ru
39;Детская библиотека №10;445044, Самарская область, г. Тольятти, ул. Автостроителей, 56а;8(8482)31-67-21;db10@child-lib.ru
40;Детская библиотека №11 ;445037, Самарская область, г. Тольятти, ул. Юбилейная, 25;8(8482)95-60-72;db11@child-lib.ru
41;Детская библиотека №12  ;445040, Самарская область, г. Тольятти, б-р Туполева, 5;8(8482)95-58-67;db12@child-lib.ru
42;Детская библиотека №13  ;445054, Самарская область, г. Тольятти, ул. Баныкина, 66;8(8482)95-60-43;db13@child-lib.ru
