Регистрационный номер маршрута;Порядковый номер маршрута;Наименование маршрута;Наименование промежуточных ОП по маршруту;Наименование улиц, автомобильных дорог, по которым предполагается движение ТС между ОП по маршруту;Протяженность маршрута, км;Порядок посадки и высадки пассажиров;Вид регулярных перевозок;Вид ТС ;Класс ТС;Экологические характерис-тики ТС;Максимальный срок эксплуата-ции ТС;Наличие низкого пола;Наличие оборудования для перевозки пассажиров из числа инвалидов;Наличие электрон-ного информа-ционного табло;Максимальное количество ТС  каждого класса, которое допускается использовать для перевозок по маршруту;Дата начала осуществления регулярных перевозок
1;№ 2;ОП ул. Белорусская – ОП Западный пляж;"ул. Белорусская, Стадион Строитель, Автовокзал, ТПИ, Театр Колесо, Больница, Дом быта, Горсад, ул. Победы, Гостиница Волга (обратно к/т Космос, ул. Гагарина, Дворец молодежи, ул. М. Горького, Детский мир, Техучилище, Школа № 27, Колледж, Гостиница Ставрополь, ул. Л. Толстого, КВД, ЦРБ (обратное направление), Автозаводское шоссе, Южное шоссе, Треугольник, 21 квартал (обратное направление), Северо-Восточная, ул. Л. Яшина, ул. 70 лет Октября, Рябиновый б-р, ул. Тополиная (прямое направление), Магазин Мир продуктов (обратное направление), Цветной б-р, 19 квартал (обратное направление), Студенческая, Кафе Встреча, Дом офицеров, 15 квартал, ТВВКИСУ, Лесопитомник, Театральная, 4 квартал, к/т Ставрополь, Телецентр, 3б квартал, 7 квартал, Детский мир, 8 квартал, б-р Буденного, Дворец Спорта, ул. Революционная, Стадион Торпедо, СК Олимп, Западный пляж
";ул.Баныкина, ул. Родины, ул. Республиканская, ул. Белорусская, ул. Ленинградская, ул. К. Маркса, ул. Мира, ул. Победы, ул.Гагарина (обратно Гагарина – К. Маркса), ул. Ленина, ул. Л. Толстого, ул. А. Кудашева, Автозаводское шоссе,  Южное шоссе , ул. Л. Яшина, ул. 70 лет Октября, ул. Ворошилова, ул. Дзержинского, пр-т Ст. Разина, б-р Приморский, ул. Спортивная;24,10;Только в установленных ОП;По регулируемым тарифам;Автобус;БК;Не ниже ЕВРО-3;Не более 15 лет;да;да;да;20;01.01.2025
;;*ЛДС «Лада-Арена» – ОП Западный пляж;ЛДС «Лада-Арена», АвтоВАЗагро, ГСК, Театральная, 4 квартал, к/т Ставрополь, Телецентр, 3б квартал, 7 квартал, Детский мир, 8 квартал, б-р Буденного, Дворец Спорта, ул. Революционная, Стадион Торпедо, СК Олимп, Западный пляж;ул.Ботаническая, пр-т  Ст. Разина, б-р Приморский, ул. Спортивная;8,33;;;;;;;;;;;09.01.2025
2;№ 6;ОП Спецавтохозяйство – ОП Оптовый рынок;Спецавтохозяйство, Оптовый рынок;Комсомольская – Васильевская – Ларина;3,50;Только в установленных ОП;По регулируемым тарифам;Автобус;БК;Не ниже ЕВРО-3;Не более 15 лет;да;да;да;1;01.01.2025
3;№ 8;ОП Западный пляж – ж/д станция Тольятти – ОП Западный пляж;Западный пляж, СК Олимп, Стадион Торпедо, ул. Революционная, Дворец спорта, б-р Буденного, 8 квартал, Театр Дилижанс, Детский городок, д/с Лесной голосок, д/с Елочка, д/с Веселая семейка, д/с Соловушка, д/с Дубравушка, ул. Ворошилова, Кафе Каскад, 10 квартал, б-р Луначарского, 15 квартал, Дом офицеров, ул. Полякова, Автопарковая, АвтоВАЗтранс, УВД, Восточное кольцо, Инженерный центр, Энергетическая, ж/д станция Тольятти, Инженерный центр, Восточное кольцо, УВД, АвтоВАЗтранс, Автопарковая, ул. Полякова, Дом офицеров, 15 квартал, б-р Луначарского, 10 квартал, Кафе Каскад, ул. Ворошилова, д/с Дубравушка, д/с Соловушка, д/с Веселая семейка, д/с Елочка, д/с Лесной голосок, Детский городок, Театр Дилижанс, 8 квартал, б-р Будённого, Дворец Спорта, ул. Революционная, Стадион Торпедо, СК Олимп, Западный пляж;ул.Спортивная, б-р Приморский, ул. Жукова, ул. Ворошилова, ул. Полякова,  Южное шоссе, ул.Борковская, ул. Вокзальная, ж/д станция «Тольятти», ул. Вокзальная, Фабричный проезд, ул. Коммунальная, ул. Борковская,  Южное шоссе, ул. Полякова, ул. Ворошилова, ул. Жукова, б-р Приморский, ул. Спортивная;25,8;Только в установленных ОП;По регулируемым тарифам;Автобус;СК;Не ниже ЕВРО-3;Не более 15 лет;да;да;да;2;01.01.2025
;;*ОП Западный пляж – ОП  ул. Полякова – ОП Западный пляж;Западный пляж, СК Олимп, Стадион Торпедо, ул. Революционная, Дворец спорта, б-р Буденного, 8 квартал, Театр Дилижанс, Детский городок, д/с Лесной голосок, д/с Елочка, д/с Веселая семейка, д/с Соловушка, д/с  Дубравушка, ул. Ворошилова, Кафе Каскад, 10 квартал, б-р Луначарского, 15 квартал, Дом офицеров, ул. Полякова, ул. Полякова, Дом офицеров, 15 квартал, б-р Луначарского, 10 квартал, Кафе Каскад, ул. Ворошилова, д/с Дубравушка, д/с Соловушка, д/с Веселая семейка, д/с Елочка, д/с Лесной голосок, Детский городок, Театр Дилижанс, 8 квартал, б-р Будённого, Дворец Спорта, ул. Революционная, Стадион Торпедо, СК Олимп, Западный пляж;ул.Спортивная, б-р Приморский, ул. Жукова, ул. Ворошилова, ул. Полякова, разворот на кольцевой развязке ул. Полякова, Южное шоссе, ул. Полякова, ул. Ворошилова, ул.  Жукова, б-р Приморский, ул. Спортивная;18,5;;;;СК;;;;;;2;01.01.2025
4;№ 9;ОП Бетонная – ОП Фосфор;"Бетонная, Опытный завод, Стадион ""Дружба"", Площадь Никонова, ул. Зеленая, ул. Гидротехническая, Вертикаль (прямое направление), ул. Макарова, Вокзальная, ул. Куйбышева, Школа №14, пос. Жигулевское море, УТЭП, Рынок, АТК КуЭСП, Молокозавод, ул. Громовой, ул. Механизаторов, Спецавтохозяйство, НТБ, Информцентр, Политехнический колледж, Военпроект, ВЦМ, 3-я проходная ВЦМ, Хим. колледж, Синтезкаучук, ТГАТК, ТЭЦ, КАТЗ, Химэнергострой, Фосфор";ул. Никонова, ул.Шлюзовая, ул.Гидротехническая, ул. Куйбышева, Трасса М5, ул. Громовой, ул. Кунеевская, ул. Комсомольская, ул. Новозаводская;20,3;Только в установленных ОП;По регулируемым тарифам;Автобус;БК;Не ниже ЕВРО-3;Не более 15 лет;да;да;да;1;01.01.2025
5;№ 13;ОП ул. Белорусская – ОП Легкоатлетический манеж;ул. Белорусская, Стадион Строитель, Автовокзал, ТПИ, Театр Колесо, Больница, Дом быта, Горсад, ул. Победы (обратно Гостиница Волга, к/т Космос), Площадь Искусств, Индустриально-педагогический колледж, Школа № 4, ул. М. Горького, Детский мир, Техучилище (обратное направление), к/т Авангард, ул. Крупской, Магазин Автолюбитель, Многопрофильная больница, ул. Мичурина, КВД, ЦРБ (обратное направление), Автозаводское шоссе, Южное шоссе, Треугольник, 21 квартал, 20 квартал, 19 квартал, Обводное шоссе, ул. Офицерская, Квартальная, ул. Полякова, Автопарковая, АвтоВАЗтранс, УВД, Восточное кольцо, Спецавтоцентр, Южная база, Рынок, 1-ое комплексное общежитие, 2-ое комплексное общежитие, ул. Свердлова, Молодёжный центр, Преображенский собор, ДКиТ, Кафе Салют, Парк Победы, Дворец Спорта, б-р Буденного, 8 квартал, Театр Дилижанс, Детский городок, Профилакторий Прилесье, Лыжная база, Набережная, Лесопарковое шоссе, ул. Спортивная, Вега, ул. Революционная, Легкоатлетический манеж;ул. Баныкина,ул. Родины, ул. Республиканская, ул. Белорусская, ул. Ленинградская, ул. К. Маркса, ул. Мира (обратно Гагарина), ул.Победы, ул. М. Горького, ул. Ленина, б-р 50 лет Октября, Автозаводское шоссе, Южное шоссе, ул. Офицерская, ул. Полякова,  Южное шоссе, ул. Борковская, ул. Юбилейная, б-р Приморский, ул. Жукова, ул. Спортивная;28,7;Только в установленных ОП;По регулируемым тарифам;Автобус;БК;Не ниже ЕВРО-3;Не более 15 лет;да;да;да;20;01.01.2025
;;*ЛДС «Лада-Арена» – ОП ул. Белорусская;ЛДС «Лада-Арена», АвтоВАЗтранс, Автопарковая, 18а квартал, Обводное шоссе, 19 квартал, 20 квартал, 21 квартал, Треугольник, Южное шоссе, Автозаводское шоссе, ЦРБ, КВД, ул. Мичурина, Многопрофильная больница, Магазин Автолюбитель, ул. Крупской, к/т Авангард, Детский мир, ул. М. Горького, Дворец молодежи, ул. Гагарина, к/т Космос, Дом быта, Больница, Театр Колесо, ТПИ, Автовокзал, Стадион Строитель, ул. Белорусская;ул.Ботаническая, Южное шоссе, Автозаводское шоссе б-р 50 лет Октября, ул. Ленина, ул. Гагарина, ул. Карла Маркса, ул. Ленинградская, ул. Белорусская, ул. Республиканская, ул. Родины, ул.Баныкина;15,37;;;;;;;;;;;01.01.2025
6;№ 14в;ОП Дворец детского творчества – ОП КВЦ;Дворец детского творчества, Музыкальная школа, 8 квартал, б-р Буденного, Дворец спорта, Парк победы, Кафе Салют, ДКиТ, Преображенский собор, Молодежный центр, ул. Свердлова, 2-ое комплексное общежитие, 1-ое комплексное общежитие, Рынок, Южная база, Спецавтоцентр, АВТОВАЗ-ТО, Машиностроительный колледж, Управление кадров, Медсанчасть, 7 вставка, 5 вставка, 3 вставка, 1 вставка, КВЦ;пр-т Ст. Разина, б-р Приморский, ул. Юбилейная, ул. Борковская, Южное шоссе;12,7;Только в установленных ОП;По регулируемым тарифам;Автобус;СК                 ;Не ниже ЕВРО-3;Не более 15 лет;да;да;да;1;09.01.2025
;;14/15 ОП Вега-ОП Инженерный центр/ОП ЦЗЧ-2-ОП Вега;В прямом направлении: Вега, ул. Спортивная, Лесопарковое шоссе, Дворец детского творчества, Музыкальная школа, 8 квартал, б-р Буденного, Дворец спорта, Парк победы, Кафе Салют, ДКиТ, Преображенский собор, Молодежный центр, ул. Свердлова, 2-ое комплексное общежитие, 1-ое комплексное общежитие, Рынок, Южная база, Спецавтоцентр, АВТОВАЗ-ТО, Машиностроительный колледж, Управление кадров, Медсанчасть, 7 вставка, 5 вставка, 3 вставка, 1 вставка, КВЦ.      В обратном направлении: ЦЗЧ-2, ПТО, Заготовительная фабрика, ОС ВАЗа, ППИ, База УМТС, Прессовое производство, 10 КПП, Ремонтно-кузнечный цех, Чугунно-литейный цех, Кузнечно-прессовый цех, Автозаводстрой, Энергетическая, Инженерный центр, АВТОВАЗ-ТО, Машиностроительный колледж, Управление кадров, Медсанчасть, 7 вставка, 5 вставка, 3 вставка, 1 вставка, КВЦ, Спецавтоцентр, Южная база, Рынок, 1-ое комплексное общежитие, 2-ое комплексное общежитие, ул. Свердлова, Молодёжный центр, Преображенский собор, ДКиТ, Кафе Салют, Парк Победы, Дворец Спорта, б-р Буденного, 8 квартал, Музыкальная школа, Дворец детского творчества, Лесопарковое шоссе, ул. Спортивная, Вега.;прямое направление  ул. Спортивная, пр-т Ст.Разина, Приморский б-р ,                         ул. Юбилейная ,ул. Борковская, Южное шоссе, ул. Цеховая,            ул. Вокзальная, ул. Борковская      обратное направление: ул.Северная, ул. Цеховая, ул.Вокзальная, ул.Борковская, Южное шоссе, ул.Борковская, ул.Юбилейная, б-р Приморский, пр-т Ст. Разина, ул.Спортивная.   ;24,0;;;;БК;;;;;;6;01.06.2026
