Регистрационный номер маршрута;Порядковый номер маршрута;Наименование маршрута;Наименование промежуточных ОП по маршруту;Наименование улиц, автомобильных дорог, по которым предполагается движение ТС между ОП по маршруту;Протяженность маршрута, км;Порядок посадки и высадки пассажиров;Вид регулярных перевозок;Вид ТС ;Класс ТС;Экологические характерис-тики ТС;Максимальный срок эксплуата-ции ТС;Наличие низкого пола;Наличие оборудования для перевозки пассажиров из числа инвалидов;Наличие электрон-ного информа-ционного табло;Максимальное количество ТС  каждого класса, которое допускается использовать для перевозок по маршруту;Дата начала осуществления регулярных перевозок;;
34;№ 91;ОП Магазин Океан – ОП Фосфор;Магазин Океан, Магазин Восход, ул. Юбилейная, б-р Курчатова, к/т Ставрополь, Телецентр, 3б квартал, 7 квартал, Детский мир, Музыкальная школа, Дворец детского творчества, Пансионат Звездный, Яхтклуб, Профилакторий Надежда, Профилакторий Русский бор, Профилакторий, Профилакторий  Парк-Отель, ул. Комзина, Автовокзал, ТПИ, Магазин Светлана, ул. Жилина, Горсад, ул. Победы, Гостиница Волга (обратно к/т Космос), ул. Гагарина, Дворец молодежи, Рынок, к/т Буревестник, Магазин Северянка, ул. М. Горького, Школа № 4, Военпроект, ВЦМ, 3-я проходная ВЦМ, Химико-технологический колледж, Синтезкаучук, ТГАТК, ТЭЦ, КАТЗ, Химэнергострой, Фосфор;ул.Свердлова, пр-т Ст. Разина, Лесопарковое шоссе, ул.Комзина, ул. Родины, ул. Республиканская, ул.Белорусская, ул. Ленинградская, ул. Ушакова, ул. Мира, ул. Победы (обратно К. Маркса), ул. Гагарина, ул.Ленина, ул. Комсомольская, ул.К. Маркса, ул. М. Горького, ул.Новозаводская;29,0;Только в установленных ОП;По нерегулируемым тарифам;Автобус;МК;ЕВРО-4;Не более 10 лет;нет ;нет;нет;30;01.01.2015;;
39;№ 96;ОП Автовокзал – ОП Вега;Автовокзал, ТПИ, Театр Колесо, Больница, Дом быта, Горсад, ул. Победы, Гостиница Волга, ул. Гагарина, Молодежный б-р, площадь Свободы (обратно Магазин Рубин, к/т Космос), к/т Буревестник, ул. Лесная, Многопрофильная больница, ул. Мичурина, КВД, ЦРБ (обратное направление), Автозаводское шоссе, Южное шоссе, Треугольник, 21 квартал (обратное направление), Северо-Восточная, ул. Яшина, ул. 70 лет Октября, Рябиновый б-р, ул. Тополиная (прямое направление), Магазин Мир продуктов (обратное направление), Цветной б-р, 19 квартал (обратное направление), Студенческая, Кафе Встреча, Дом офицеров, 15 квартал, б-р Луначарского, 10 квартал, Магазин Мебель, Стоматологическая поликлиника, Гостиница, б-р Курчатова, ул. Юбилейная, Дом мод, Магазин 1000 мелочей, Дом быта Орбита, Магазин Русь, Школа имени академика Королева, Приморский б-р, Дворец Спорта, б-р Буденного, 8 квартал, Музыкальная школа, Дворец детского творчества, Лесопарковое шоссе, ул. Спортивная, Вега;ул.Родины, ул. Республиканская, ул. Белорусская, ул. Ленинградская, ул. К. Маркса, ул. Мира, ул. Победы, ул. Гагарина, ул. Ленина, б-р Молодежный (обратно К. Маркса), ул. К. Маркса, ул.Лесная, Автозаводское шоссе, Южное шоссе, ул. Л. Яшина, ул. 70 лет Октября, ул. Ворошилова, ул. Свердлова, ул. Революционная, б-р Приморский, пр-т Ст. Разина, ул. Спортивная;24,8;Только в установленных ОП;По нерегулируемым тарифам;Автобус;МК;ЕВРО-4 ЕВРО-5;Не более 10 лет;нет ;нет;нет;40;01.01.2015;;
40;№ 99;ОП Вега – ОП Южное шоссе;Вега, ул. Революционная, Легкоатлетический манеж, Западный пляж, СК Олимп, Стадион Торпедо, ул. Революционная, Приморский б-р, Школа имени академика Королева, Магазин Русь, Дом быта Орбита, Магазин 1000 мелочей, Дом мод, к/т Сатурн, Универсам, Аптека, Лицей искусств, пр-т Ст. Разина, Лесопитомник, ТВВКИСУ, Общежитие Современник (прямое направление), б-р Космонавтов, ул. Автостроителей (обратное направление), 16 квартал, Строительная, 17 квартал (прямое направление), Школьная, ул. Тополиная (обратное направление), Рябиновый б-р, ул. 70 лет Октября, ул. Л. Яшина, Северо-Восточная, 21 квартал (прямое направление), Треугольник, Южное шоссе;ул.Спортивная, б-р Приморский, ул. Революционная, ул.  Дзержинского, ул. Тополиная, ул.70 лет Октября, ул. Л. Яшина, Южное шоссе;14,8;Только в установленных ОП;По нерегулируемым тарифам;Автобус;МК;ЕВРО-4 ЕВРО-5;Не более 10 лет;нет ;нет;нет;40;01.01.2015;;
46;№ 116;ОП Вега – ОП Южное шоссе;Вега, ул. Революционная,Легкоатлетический манеж, Западный пляж, СК Олимп, Стадион Торпедо, ул. Революционная, Приморский б-р, Школа имени академика Королева, Магазин Русь, Управление соцзащиты, Школа № 50, Телецентр, к/т Ставрополь, Гостиница, Стоматологическая поликлиника, Магазин Мебель, 10 квартал, б-р Луначарского, 15 квартал, Дом офицеров, Кафе Встреча, Студенческая, 19 квартал (прямое направление), Цветной б-р,  Магазин Мир продуктов (прямое направление), ул. Тополиная (обратное направление), Рябиновый б-р, ул. 70 лет Октября, ул. Л. Яшина, Северо-Восточная, 21 квартал (прямое направление), Треугольник, Южное шоссе;ул.Спортивная, б-р Приморский, ул. Революционная, пр-т Ленинский, пр-т Ст. Разина, ул. Свердлова, ул. Ворошилова, ул. 70 лет Октября, ул. Л. Яшина,Южное шоссе;14,9;Только в установленных ОП;По нерегулируемым тарифам;Автобус;МК;Не ниже ЕВРО-3;Не более 10 лет;нет ;нет;нет;3;01.01.2015;;
47;№ 117;ОП Западный пляж – ОП 17 квартал – ОП Западный пляж;Западный пляж, СК Олимп, Стадион Торпедо, ул. Революционная, Дворец Спорта, б-р Буденного, 8 квартал, Детский мир, 7 квартал, 3б квартал, 9 квартал, б-р Туполева, Пединститут, б-р Здоровья, Детская больница, Медгородок, ул. 40 лет Победы, Заводская, 12 квартал, Молодежная, Школа № 82, 19 квартал, Цветной б-р, Магазин Мир продуктов, Тополиная, Школьная, 17 квартал, Школьная, Тополиная, Цветной б-р, Гостиница Лада, Школа № 82, Молодежная, 12 квартал, Заводская, ул. 40 лет Победы, Медгородок, Детская больница, б-р Здоровья, Пединститут, б-р Туполева, 9 квартал, 3б квартал, 7 квартал, Детский мир, 8 квартал, б-р Буденного, Дворец Спорта, ул. Революционная, Стадион Торпедо, СК Олимп, Западный пляж;ул.Спортивная, б-р Приморский, пр-т Ст. Разина, пр-т Ленинский, ул.40 лет Победы, ул. Автостроителей, ул. 70 лет Октября, ул. Тополиная, Разворот на кольцевой развязке ул. Тополиная, ул. Дзержинского, ул. Тополиная, ул. 70 лет Октября, ул.Автостроителей, ул. 40 лет Победы, пр-т Ленинский, пр-т Ст. Разина, б-р Приморский, ул. Спортивная;23,1;Только в установленных ОП;По нерегулируемым тарифам;Автобус;МК;ЕВРО-4 ;Не более 10 лет;нет ;нет;нет;7;01.01.2015;;
49;№ 119;ОП Вега – ОП Тубдиспансер ;Вега, ул. Революционная, Легкоатлетический манеж, Западный пляж, СК Олимп, Стадион Торпедо, ул. Революционная, Дворец Спорта, б-р Будённого, 8 квартал, Детский мир, 7 квартал, 3б квартал, Телецентр, к/т Ставрополь, 4 квартал, Театральная, ГСК, АвтоВАЗагро, АвтоВАЗтранс, Автопарковая, 18а квартал, Обводное шоссе, 19 квартал, 20 квартал, 21 квартал, Треугольник, Южное шоссе, Автозаводское шоссе, КВД, ул. Л. Толстого, гостиница Ставрополь, Колледж, Школа № 27, Техучилище, Детский мир, ул. М. Горького, Дворец молодежи, ул. Гагарина, к/т Космос, Горсад (обратно ул. Победы, Гостиница Волга), Дом природы, 27 квартал, ул. Карбышева, Троллейбусное депо, Спецавтохозяйство, ул. Механизаторов, ул. Громовой, Колледж технического и художественного образования, Молодежный драматический театр, ул. Мурысева, Речной вокзал, Речной порт, ВНИИНЕРУД, Мясокомбинат, Рынок, УТЭП, п. Жигулёвское море, микрорайон Нагорный, Оренбургский проезд, ул. Высоковольтная, ул. Восточная, Тубдиспансер;ул.Спортивная, б-р Приморский, пр-т Ст. Разина, ул. Ботаническая, Южное шоссе, Автозаводское шоссе, ул. Л. Толстого, ул. Ленина, ул. Гагарина, ул. К. Маркса (обратно Победы), ул. Мира, ул. Комсомольская, ул. Кунеевская, ул.Громовой, ул. Матросова, ул. Коммунистическая, ул. Ярославская, ул. Громовой, Трасса М5, ул. Нижегородская, проезд Майский , ул. Высоковольтная, ул. Коваленко;38,5;Только в установленных ОП;По нерегулируемым тарифам;Автобус;МК;ЕВРО-3 ЕВРО-4 ЕВРО-5;Не более 10 лет;нет ;нет;нет;4;01.01.2015;;
50;№ 124;ОП Площадь Никонова – ОП Вега;Площадь Никонова, ул. Зеленая, ул. Гидротехническая, Вертикаль (прямое направление), ул. Макарова, Вокзальная, ул. Куйбышева, Школа № 14, поселок Жигулевское море, УТЭП, Рынок, АТК КуЭСП, Молокозавод, ул. Громовой, ул. Механизаторов, Спецавтохозяйство, Троллейбусное депо, ул. Карбышева, 27 квартал, Дом природы, ул. Победы, Площадь Искусств, (обратно Гостиница Волга, к/т Космос, Горсад), Индустриально-педагогический колледж, Школа № 4, ул. Горького, Детский мир, Техучилище (обратное направление), к/т Авангард, ул. Крупской, Магазин Автолюбитель, Многопрофильная больница, ул. Мичурина, КВД, ЦРБ (обратное направление), Автозаводское шоссе, Южное шоссе, Треугольник, 21 квартал, 20 квартал, 19 квартал, Обводное шоссе, 18а квартал, Автопарковая, АвтоВАЗтранс, АвтоВАЗагро, ГСК, Театральная, 4 квартал, к/т Ставрополь, Телецентр, 3б квартал, 7 квартал, Детский мир, 8 квартал, б-р Буденного, Дворец Спорта, Вега;ул.Никонова, ул. Шлюзовая, ул. Гидротехническая, ул. Куйбышева, Трасса М5, ул. Громовой, ул. Кунеевская, ул. Комсомольская, ул. Мира, ул. Победы (обратно Гагарина – К. Маркса), ул. М. Горького,  ул.Ленина, б-р 50 лет Октября, Автозаводское шоссе, Южное шоссе, ул. Ботаническая, пр-т Ст. Разина, б-р Приморский, ул.Юбилейная;32,6;Только в установленных ОП;По нерегулируемым тарифам;Автобус;МК;Не ниже ЕВРО-2;Не более 10 лет;нет ;нет;нет;15;01.01.2015;;
51;№ 126;ОП ул. Есенина – ОП Жигулевская  долина;ул. Есенина, ул. Космодемьянской, ул. Тюленина, ГАИ Комсомольского района (обратное направление), ул. Мурысева, Молодежный драматический театр, Колледж технического и художественного образования, ул. Громовой, ул. Механизаторов, Спецавтохозяйство, Школа № 1, 73 квартал, Магазин Юность, 72 квартал, ул. Голосова, б-р Ленина, Краеведческий музей, ТМО-2, ул. Баныкина, ул. Белорусская, Стадион Строитель, Автовокзал, Автовокзал, Школа-интернат №5, Многопрофильная больница, ул. Мичурина, КВД, ЦРБ (обратное направление), Автозаводское шоссе, Южное шоссе, Треугольник, 21 квартал, 20 квартал, Утес (прямое направление), Школа № 88, Магазин Ассорти (обратное направление), ул. Тополиная (прямое направление), Школьная, 17 квартал (обратное направление), 14 квартал, 14-А квартал, Школа № 70, Медучилище, Медгородок, Детская больница, б-р Здоровья, д/с Дубравушка, д/с Соловушка, ул. Жукова, 11 квартал, Школа № 51, Административный центр, Парк Победы, Детский парк, Степная, 3 квартал, Ленинский пр-т, Дом связи, Пожарное депо, ул. Дзержинского, Кооперативная, НТЦ, Учебный центр, Медсанчасть, 7 вставка, 5 вставка, 3 вставка, 1 вставка, КВЦ, Жигулевская долина;ул.Коммунистическая, ул. Матросова, ул. Громовой, ул. Кунеевская, ул. Баныкина, ул. Родины, ул. Лесная, Автозаводское шоссе, Южное шоссе, ул. Тополиная, ул. 40 лет Победы, ул. Жукова, ул.Фрунзе, пр-т Московский, ул.Заставная, Южное шоссе;35,7;Только в установленных ОП;По нерегулируемым тарифам;Автобус;МК;ЕВРО-4;Не более 10 лет;нет ;нет;нет;28;01.01.2015;;
52;№ 127;ОП Вега – ОП Тубдиспансер;Вега, Вега, ул. Революционная, Легкоатлетический манеж, Западный пляж, СК Олимп, Стадион Торпедо, ул. Революционная, Дворец Спорта, б-р Буденного, 8 квартал, Детский мир, 7 квартал, 11 квартал, ул. Жукова, д/с Соловушка, д/с Дубравушка, б-р Здоровья, Детская больница, Медгородок, ул. 40 лет Победы, Заводская, 12 квартал, Молодежная,  Школа № 82, Гостиница Лада (обратное направление), 19 квартал (прямое направление), Цветной б-р, Магазин Мир продуктов (прямое направление), ул. Тополиная (обратное направление), Рябиновый б-р, ул. 70 лет Октября, ул. Л. Яшина, Северо-Восточная, 21 квартал (прямое направление), Треугольник, Южное шоссе, Автозаводское шоссе, ЦРБ, КВД, ул. Мичурина, Многопрофильная больница, Магазин Автолюбитель, ул. Крупской, к/т Авангард, Техучилище, Детский мир, ул. М. Горького, Школа № 4, Индустриально-педагогический колледж, Площадь Искусств, Гостиница Волга (прямое направление), к/т Космос (прямое направление), Горсад (прямое направление), ул. Победы (обратное направление), Дом природы, 27 квартал, ул. Карбышева, Троллейбусное депо, Спецавтохозяйство, ул. Механизаторов, ул. Громовой, Колледж технического и художественного образования, Молодежный драматический театр (прямое направление), ул. Л. Чайкиной, Универмаг, Мясокомбинат, Рынок, УТЭП, поселок Жигулевское море, микрорайон Нагорный, Оренбургский проезд, ул. Высоковольтная, ул. Восточная (обратное направление), Тубдиспансер;ул.Юбилейная, ул. Спортивная, б-р Приморский, пр-т Ст. Разина, ул. Фрунзе, ул. Жукова, ул. 40 лет Победы, ул. Автостроителей, ул. 70 лет Октября, ул. Л. Яшина, Южное шоссе, Автозаводское шоссе, б-р 50 лет Октября, ул. Ленина, ул. М. Горького, ул. Победы, ул. Гагарина, ул. К. Маркса обратно Победы), ул. Мира, ул. Комсомольская, ул. Кунеевская , ул.Громовой, ул. Матросова, ул. Л. Чайкиной, ул. Ярославская, ул. Громовой, Трасса М5, проезд Майский, ул. Высоковольтная, ул. Б.Коваленко;35,3;Только в установленных ОП;По нерегулируемым тарифам;Автобус;МК;ЕВРО-3 ЕВРО-4 ЕВРО-5;Не более 10 лет;нет ;нет;нет;22;01.01.2015;;
55;№ 132;ОП Тубдиспансер – ОП Вега;Тубдиспансер, ул. Восточная, ул. Высоковольтная, Оренбургский проезд, микрорайон Нагорный, поселок Жигулевское море, УТЭП, Рынок, Мясокомбинат, Универмаг, ул. Л. Чайкиной, Молодежный драматический театр (обратное направление), Колледж технического и художественного образования, ул. Громовой, ул. Механизаторов, Спецавтохозяйство, Троллейбусное депо, ул. Карбышева, 27 квартал, Дом природы, ул. Победы, Гостиница Волга (обратно к/т Космос, Горсад), ул. Гагарина, Дворец Молодёжи, ул. М. Горького, Детский мир, Техучилище, к/т Авангард, ул. Крупской, Магазин Автолюбитель, Многопрофильная больница, ул. Мичурина, КВД, ЦРБ (обратное направление), Автозаводское шоссе, Южное шоссе, Треугольник, 21 квартал, 20 квартал, 19 квартал, Обводное шоссе, 18а квартал, Автопарковая, АвтоВАЗтранс, АвтоВАЗагро, ГСК, Театральная, 4 квартал, к/т Ставрополь, Телецентр, 3б квартал, 7 квартал, Детский мир, 8 квартал, б-р Будённого, Дворец Спорта, Вега;ул. Б.Коваленко, ул.Высоковольтная, проезд Майский, ул. Нижегородская, Трасса М5, ул. Громовой, ул. Ярославская, ул. Л. Чайкиной, ул. Матросова, ул. Громовой, ул. Кунеевская, ул. Комсомольская , ул.Мира, ул. Победы (обратно К. Маркса), ул. Гагарина, ул. Ленина, б-р 50 лет Октября,  Автозаводское шоссе, Южное шоссе, ул.Ботаническая, пр-т Ст. Разина, б-р Приморский, ул.Юбилейная;32,8;Только в установленных ОП;По нерегулируемым тарифам;Автобус;МК;ЕВРО-3 ЕВРО-4 ЕВРО-5;Не более 10 лет;нет ;нет;нет;4;01.01.2015;;
