Регистрационный номер маршрута;Порядковый номер маршрута;Наименование маршрута;Наименование промежуточных ОП по маршруту;Наименование улиц, автомобильных дорог, по которым предполагается движение ТС между ОП по маршруту;Протяженность маршрута, км;Порядок посадки и высадки пассажиров;Вид регулярных перевозок;Вид ТС ;Класс ТС;Экологические характерис-тики ТС;Максимальный срок эксплуата-ции ТС;Наличие низкого пола;Наличие оборудования для перевозки пассажиров из числа инвалидов;Наличие электрон-ного информа-ционного табло;Максимальное количество ТС  каждого класса, которое допускается использовать для перевозок по маршруту;Дата начала осуществления регулярных перевозок
1;№ 1;ОП Речной вокзал – ОП Зона отдыха;Речной вокзал, ул. Мурысева, Молодежный драматический театр, Колледж технического и художественного образования, ул. Громовой, ул. Механизаторов, Спецавтохозяйство, Троллейбусное депо, ул. Карбышева, 27 квартал, Дом природы, Горсад, ул. Жилина, Магазин Светлана, ул. Гидростроевская, Автовокзал, Автовокзал, ул. Комзина, Парк-Отель, Профилакторий, Зона отдыха;ул.Коммунистическая, ул.Матросова, ул. Громовой, ул.Кунеевская, ул. Комсомольская, ул. Мира, ул.Родины, ул. Комзина, Лесопарковое шоссе;15,9;Только в установленных ОП;По регулируемым тарифам;Троллейбус ;БК;-;Не более 15 лет;да;да;да;1;01.01.2020
2;№ 2;ОП ул. Гидростроевская – ОП Фосфор;ул. Гидростроевская, Магазин Светлана, ул. Жилина, Горсад, Дом природы, Хлебокомбинат, Военпроект, ВЦМ, 3-я проходная ВЦМ, Хим. колледж, Синтезкаучук, ТГАТК, ТЭЦ, КАТЗ, Химэнергострой, Фосфор;ул.Мира, ул. Голосова, ул. Новозаводская;10;Только в установленных ОП;По регулируемым тарифам;Троллейбус ;БК;-;Не более 15 лет;да;да;да;10;21.01.1966
3;№ 4;ОП Трансформатор – ОП Фосфор;Трансформатор, ТЗТО, Троллейбусное депо, ул. Карбышева, 27 квартал, Дом природы, ул. Победы, Гостиница Волга, (обратно Горсад, к/т Космос), ул. Гагарина, Дворец молодежи, ул. М. Горького, Детский мир, Техучилище, ул. Украинская, ул. Октябрьская, ул. Новозаводская, Хим. колледж, Синтезкаучук, ТГАТК, ТЭЦ, КАТЗ, Химэнергострой, Фосфор;ул.Индустриальная, ул. Мира, ул. Победы (обратно К. Маркса), ул. Гагарина, ул. Ленина, б-р 50 лет Октября, ул. Новозаводская;12,25;Только в установленных ОП;По регулируемым тарифам;Троллейбус ;БК;-;Не более 15 лет;да;да;да;9;16.02.1968
4;№ 7;ОП Речной вокзал – ОП ул. Гидростроевская;Речной вокзал, ул. Мурысева, Молодежный драматический театр, Колледж технического и художественного образования, ул. Громовой, ул. Механизаторов, Спецавтохозяйство, Троллейбусное депо, ул. Карбышева, 27 квартал, Дом природы, Горсад, ул. Жилина, Магазин Светлана, ул. Гидростроевская;ул. Коммунистическая, ул. Матросова, ул. Громовой, ул. Кунеевская, ул. Комсомольская, ул. Мира;10,6;Только в установленных ОП;По регулируемым тарифам;Троллейбус ;БК;-;Не более 15 лет;да;да;да;8;04.12.1970
6;№ 13;"ОП 8 квартал – 
ОП Музыкальная школа";8 квартал, б-р Будённого, Дворец Спорта, Приморский б-р, Школа имени академика Королева, Магазин Русь, Дом быта Орбита, Магазин 1000 мелочей, Дом мод, к/т Сатурн, Универсам, Аптека, Колледж технического и художественного образования, корпус 1, Проектное управление, Учебный центр, Учебный центр, НТЦ, Кооперативная, Московский пр-т, б-р Кулибина, Лицей искусств, пр-т Ст. Разина, Лесопитомник, ТВВКИСУ, Общежитие Современник, б-р Космонавтов, 12 квартал, Заводская, ул. 40 лет Победы, Медгородок, Детская больница, б-р Здоровья, д/с Дубравушка, д/с Соловушка, д/с Веселая семейка, д/с Елочка, д/с Лесной голосок, Профилакторий Прилесье, Лыжная база, Набережная, Дворец детского творчества, Музыкальная школа;б-р Приморский, ул. Революционная, ул. Воскресенская, ул. Заставная, ул. Дзержинского, ул.Автостроителей, ул. 40 лет Победы, ул. Жукова, ул. Спортивная, пр-т Степана Разина;19,8;Только в установленных ОП;По регулируемым тарифам;Троллейбус ;БК;-;Не более 15 лет;да;да;да;9;01.01.2023
7;№ 14;"ОП Музыкальная школа – 
ОП 8 квартал";Музыкальная школа, Дворец детского творчества, Набережная, Лыжная база, Профилакторий Прилесье, д/с Лесной голосок, д/с Елочка, д/с Веселая семейка, д/с Соловушка, д/с Дубравушка, б-р Здоровья, Детская больница, Медгородок, ул. 40 лет Победы, Заводская, 12 квартал, ул. Автостроителей, б-р Космонавтов, ТВВКИСУ, Лесопитомник, пр-т Ст. Разина, Лицей искусств, б-р Кулибина, Московский пр-т, Кооперативная, НТЦ, Учебный центр, Учебный центр, Проектное управление, Колледж технического и художественного образования, корпус 1, Аптека, Универсам, к/т Сатурн, Дом мод, Магазин 1000 мелочей, Дом быта Орбита, Магазин Русь, Школа имени академика Королева, Приморский б-р, Дворец Спорта, б-р Буденного, 8 квартал;пр-т Степана Разина, ул. Спортивная, ул. Жукова, ул. 40 лет Победы, ул.Автостроителей, ул. Дзержинского, ул. Заставная, ул. Воскресенская, ул. Революционная, б-р Приморский;20,7;Только в установленных ОП;По регулируемым тарифам;Троллейбус ;БК;-;Не более 15 лет;да;да;да;9;01.01.2023
8;№ 18;ОП 8 квартал – ОП Речной вокзал;8 квартал, б-р Буденного, Дворец Спорта, Приморский б-р, Школа имени академика Королева, Магазин Русь, Дом быта Орбита, Магазин 1000 мелочей, Дом мод, к/т Сатурн, Универсам, Аптека, Лицей искусств, пр-т Ст. Разина, ГСК, АвтоВАЗагро, АвтоВАЗтранс, Автопарковая, 18а квартал, Обводное шоссе, 19 квартал, 20 квартал, 21 квартал, Треугольник, Южное шоссе, Автозаводское шоссе, ЦРБ, КВД, ул. Мичурина, Многопрофильная больница, Магазин Автолюбитель, ул. Крупской, к/т Авангард, Техучилище (обратное направление), Детский мир, ул. М. Горького, Дворец молодежи, ул. Гагарина, Горсад, к/т Космос (обратно Гостиница Волга, ул. Победы), Дом природы, 27 квартал, ул. Карбышева, Троллейбусное депо, Спецавтохозяйство, ул. Механизаторов, ул. Громовой, Колледж технического и художественного образования, Молодежный драматический театр, ул. Мурысева, Речной вокзал;б-р Приморский, ул. Революционная, ул.  Дзержинского, ул. Ботаническая, Южное шоссе, Автозаводское шоссе, б-р  –50 лет Октября, ул. Ленина, ул. Гагарина, ул.  К. Маркса (обратно Победы), ул. Мира, ул. Комсомольская, ул. Кунеевская, ул. Громовой, ул. Матросова, ул. Коммунистическая;28,64;Только в установленных ОП;По регулируемым тарифам;Троллейбус ;БК;-;Не более 15 лет;да;да;да;7;01.07.1984
9;№ 21;ОП Речной вокзал – ОП Транспортный цех;Речной вокзал, ГАИ Комсомольского района (прямое направление), ул. Тюленина, ул. Космодемьянской, 3 квартал, МСЧ №8, Парк, Сквер Вадима Леванова (обратное направление), ул. Л. Чайкиной, Универмаг, Мясокомбинат, Рынок, Дачи, Озерки, АвтоВАЗагрегат, Сосновый бор, Кладбище, ТП-20, Дачная, Очистные сооружения, ТП-21, Азотная, Транспортный цех;ул. Коммунистическая, ул. Механизаторов, ул. Л. Чайкиной, ул. Ярославская, ул. Громовой, Поволжское шоссе;16,85;Только в установленных ОП;По регулируемым тарифам;Троллейбус ;БК;-;Не более 15 лет;да;да;да;4;04.07.1982
10;№ 22;ОП Речной вокзал – ОП Зона отдыха;Речной вокзал, Речной порт, ВНИИНЕРУД, Мясокомбинат, АТК КуЭСП, Молокозавод, ул. Громовой, ул. Механизаторов, Спецавтохозяйство, Школа № 1, 73 квартал, Магазин Юность, 72 квартал, ул. Голосова, б-р Ленина, Краеведческий музей, ТМО-2, ул. Баныкина, ул. Белорусская, Стадион Строитель, ул. Комзина, Парк-Отель, Профилакторий, Зона отдыха;ул.Коммунистическая, ул. Ярославская, ул. Громовой, ул.Кунеевская, ул. Баныкина, ул. Родины, ул. Комзина;16,1;Только в установленных ОП;По регулируемым тарифам;Троллейбус ;БК;-;Не более 15 лет;да;да;да;1;01.08.2023
11;№ 11;ОП  Детский мир - ОП  Музыкальная школа;Детский мир, 7 квартал, 3б квартал, Телецентр, к/т Ставрополь, 4 квартал, Театральная, ГСК, АвтоВАЗагро, УВД, Восточное кольцо, АВТОВАЗ-ТО, Машиностроительный колледж, Управление кадров, Учебный центр, НТЦ, Кооперативная, ул. Дзержинского, Пожарное депо, Дом связи, Ленинский пр-т, 3 квартал, ул. Фрунзе, пос. Приморский, Западный пляж, Легкоатлетический манеж, ул. Революционная, Вега, Спортивная, Лесопарковое шоссе, Дворец детского творчества, Музыкальная школа;пр-т Ст. Разина, ул. Ботаническая, Южное шоссе, ул. Заставная, пр-т Московский, ул. Спортивная, пр-т Степана Разина;16,95;Только в установленных ОП;По регулируемым тарифам;Троллейбус ;БК;-;Не более 15 лет;да;да;да;4;01.01.2026
12;№ 12;ОП Музыкальная школа - ОП Детский мир;Музыкальная школа, Дворец детского творчества, Лесопарковое шоссе, Спортивная, Вега, ул. Революционная, Легкоатлетический манеж, Западный пляж, пос. Приморский, ул. Фрунзе,  3 квартал, Ленинский пр-т, Дом связи, Пожарное депо, ул. Дзержинского, Кооперативная,  НТЦ, Учебный центр, Управление кадров, Машиностроительный колледж,  АВТОВАЗ-ТО, Восточное кольцо, УВД, АвтоВАЗагро,   ГСК, Театральная, 4 квартал, к/т Ставрополь, Телецентр, 3б квартал, 7 квартал, Детский мир;пр-т Ст. Разина, ул. Спортивная, пр-т  Московский, ул. Заставная, Южное шоссе, ул. Ботаническая, пр-т Степана Разина;16,32;Только в установленных ОП;По регулируемым тарифам;Троллейбус ;БК;-;Не более 15 лет;да;да;да;4;01.01.2026
