№ п/п;Номер в реестре;Кадастровый номер;Вид объекта;Наименование;Адрес;Площадь (текущая);Вид права
1;2;3;4;5;6;7;8
1;П1300000014513;;Нежилое здание;Нежилое здание ТП-306Б;Самарская область, Автозаводский район, г. Тольятти, ул. Фрунзе, д. 2Г;;Казна
2;П1300000014437;;Нежилое здание;РП МЖК кв .18 (РП-23);Самарская область, Автозаводский район, г. Тольятти, кв.18;;Казна
3;П1300000009775;;Нежилое здание;Нежилое здание;Самарская область, Центральный район, г. Тольятти, ул. Жилина, д. 50;55,2;Казна
4;П1300000006541;;Нежилое здание;Административно-бытовое здание;Самарская область, Центральный район, г. Тольятти, ул. Советская, д. 38, стр. А;119,2;Оперативное управление
5;П1300000007000;;Нежилое здание;Закрытая стоянка для спецавтомобилей;Самарская область, Комсомольский район, г. Тольятти, ул. Громовой, д. 55;432;Хозяйственное ведение
6;П1300000006300;63:02:0101002:524;Нежилое здание;Домик ГДР;Самарская область, муниципальный район Ставропольский, с.п. Жигули, Жигулевское лесничество, квартал № 14;26,9;Казна
7;П1300000006298;63:02:0101002:525;Нежилое здание;Домик деревянный;Самарская область, муниципальный район Ставропольский, с.п. Жигули, Жигулевское лесничество, квартал № 14;27,1;Казна
8;П1300000006303;63:02:0101002:526;Нежилое здание;Домик зимний с верандой;Самарская область, муниципальный район Ставропольский, с.п. Жигули, Жигулевское лесничество, квартал № 14;33,6;Казна
9;П1300000009368;63:02:0101002:527;Нежилое здание;Туалет;Самарская область, муниципальный район Ставропольский, с.п. Жигули, Жигулевское лесничество, квартал № 14;8,8;Казна
10;П1300000007423;63:02:0101002:528;Нежилое здание;Домик ГДР;Самарская область, муниципальный район Ставропольский, с.п. Жигули, Жигулевское лесничество, квартал № 14;26,7;Казна
11;П1300000006299;63:02:0101002:529;Нежилое здание;Домик деревянный;Самарская область, муниципальный район Ставропольский, с.п. Жигули, Жигулевское лесничество, квартал № 14;51,8;Казна
12;П1300000006016;63:09:0000000:10080;Нежилое здание;Склад;Самарская область, Центральный район, г. Тольятти, ул. Ушакова, д. 34;76,8;Казна
13;П1300000009761;63:09:0000000:10209;Нежилое здание;Нежилое здание;Самарская область, Комсомольский район, г. Тольятти, ул. Шлюзовая, д. 3;42,4;Оперативное управление
14;П1300000005874;63:09:0000000:8648;Нежилое здание;Здание насосной станции 2 подъема;Самарская область, Комсомольский район, г. Тольятти, в/з Жиг море;139,9;Казна
15;П1300000007862;63:09:0000000:8673;Нежилое здание;Насосная станция 2 подъема;"Самарская область, Центральный район, г. Тольятти, Лесной массив, водозабор ""Портовый""";111,7;Казна
16;П1300000008977;63:09:0101150:10694;Нежилое здание;Детский сад № 185;Самарская область, Автозаводский район, г. Тольятти, б-р Гая, д. 13;2614,5;Оперативное управление
17;П1300000008978;63:09:0101150:10695;Нежилое здание;Овощехранилище;Самарская область, Автозаводский район, г. Тольятти, б-р Гая, д. 13;52,6;Оперативное управление
18;П1300000012462;63:09:0101150:10700;Нежилое здание;Детский сад  № 179;Самарская область, Автозаводский район, г. Тольятти, б-р Гая, д. 20;3917,2;Казна
19;П1300000006968;63:09:0101150:10701;Нежилое здание;Детский сад № 209 Гармония;Самарская область, Автозаводский район, г. Тольятти, ул. Автостроителей, д. 19;4110,1;Оперативное управление
20;П1300000006266;63:09:0101150:10702;Нежилое здание;Хозблок;Самарская область, Автозаводский район, г. Тольятти, ул. Автостроителей, д. 19, стр.;96;Оперативное управление
21;П1300000012477;63:09:0101150:10703;Нежилое здание;Овощехранилище;Самарская область, Автозаводский район, г. Тольятти, ул. Автостроителей, д. 29, стр.;104,4;Казна
22;П1300000012478;63:09:0101150:10704;Нежилое здание;Детский сад  № 204;Самарская область, Автозаводский район, г. Тольятти, ул. Автостроителей, д. 29;4128,6;Казна
23;П1300000012474;63:09:0101150:10705;Нежилое здание;Детский сад  № 206;Самарская область, Автозаводский район, г. Тольятти, ул. Автостроителей, д. 30;2752,9;Казна
24;П1300000012473;63:09:0101150:10708;Нежилое здание;Овощехранилище детского сада № 206;Самарская область, Автозаводский район, г. Тольятти, ул. Автостроителей, д. 30, стр.;96,4;Казна
25;П1300000012471;63:09:0101150:10712;Нежилое здание;Склад;Самарская область, Автозаводский район, г. Тольятти, б-р Гая, д. 4, стр.;66;Казна
26;П1300000006935;63:09:0101150:10713;Нежилое здание;Детский сад;Самарская область, Автозаводский район, г. Тольятти, б-р Гая, д. 8;2558,3;Оперативное управление
27;П1300000006693;63:09:0101150:10714;Нежилое здание;Овощехранилище;Самарская область, Автозаводский район, г. Тольятти, б-р Гая, д. 8;52,1;Оперативное управление
28;П1300000012470;63:09:0101150:10715;Нежилое здание;Детский сад  № 176;Самарская область, Автозаводский район, г. Тольятти, б-р Гая, д. 4;3950,2;Казна
29;П1300000012448;63:09:0101150:10717;Нежилое здание;Детский сад  № 188;Самарская область, Автозаводский район, г. Тольятти, ул. Автостроителей, д. 51;3838,5;Казна
30;П1300000012444;63:09:0101150:10718;Нежилое здание;Детский сад  № 187;Самарская область, Автозаводский район, г. Тольятти, ул. Автостроителей, д. 45;3840,8;Казна
31;П1300000006937;63:09:0101150:10719;Нежилое здание;Детский сад;Самарская область, Автозаводский район, г. Тольятти, б-р Гая, д. 29;2533,4;Оперативное управление
32;П1300000006499;63:09:0101150:10720;Нежилое здание;Овощехранилище;Самарская область, Автозаводский район, г. Тольятти, б-р Гая, д. 29;53,4;Оперативное управление
33;П1300000009356;63:09:0101150:10722;Нежилое здание;Овощехранилище;Самарская область, Автозаводский район, г. Тольятти, ул. Автостроителей, д. 51, стр. 1;52,3;Казна
34;П1300000008796;63:09:0101150:10723;Нежилое здание;Овощехранилище;Самарская область, Автозаводский район, г. Тольятти, ул. Автостроителей, д. 76, стр. 1;51,7;Казна
35;П1300000012461;63:09:0101150:10724;Нежилое здание;Детский сад  № 182;Самарская область, Автозаводский район, г. Тольятти, ул. Автостроителей, д. 76;3878,3;Казна
36;П1300000008616;63:09:0101150:10725;Нежилое здание;Школа;Самарская область, Автозаводский район, г. Тольятти, ул. Свердлова, д. 23;7706,6;Оперативное управление
37;П1300000012455;63:09:0101150:10726;Нежилое здание;Детский сад  № 115;Самарская область, Автозаводский район, г. Тольятти, ул. Свердлова, д. 27;2429,3;Казна
38;П1300000009376;63:09:0101150:10727;Нежилое здание;Овощехранилище;Самарская область, Автозаводский район, г. Тольятти, ул. Свердлова, д. 27, стр. 1;44,9;Казна
39;П1300000012487;63:09:0101150:10728;Нежилое здание;Детский сад  № 140;Самарская область, Автозаводский район, г. Тольятти, ул. Свердлова, д. 36;3865,7;Казна
40;П1300000009004;63:09:0101150:10730;Нежилое здание;Овощехранилище;Самарская область, Автозаводский район, г. Тольятти, ул. Свердлова, д. 36, стр. 1;50,2;Казна
41;П1300000007134;63:09:0101150:10731;Нежилое здание;Детский сад;Самарская область, Автозаводский район, г. Тольятти, ул. Свердлова, д. 7;2709,4;Оперативное управление
42;П1300000012440;63:09:0101150:10732;Нежилое здание;Детский сад  № 66;Самарская область, Автозаводский район, г. Тольятти, ул. Свердлова, д. 76;2202,9;Казна
43;П1300000009366;63:09:0101150:10733;Нежилое здание;Овощехранилище;Самарская область, Автозаводский район, г. Тольятти, ул. Свердлова, д. 76, стр. 1;35,2;Казна
44;П1300000008551;63:09:0101150:10736;Нежилое здание;Детский сад;Самарская область, Автозаводский район, г. Тольятти, ул. Свердлова, д. 70;2216,9;Оперативное управление
45;П1300000006688;63:09:0101150:10737;Нежилое здание;Овощехранилище;Самарская область, Автозаводский район, г. Тольятти, ул. Свердлова, д. 70;39,5;Оперативное управление
46;П1300000008826;63:09:0101150:10739;Нежилое здание;ЦТП № 91;Самарская область, Автозаводский район, г. Тольятти, ул. Свердлова, д. 7, стр. Б;133,6;Казна
47;П1300000007108;63:09:0101150:10740;Нежилое здание;Овощехранилище;Самарская область, Автозаводский район, г. Тольятти, ул. Свердлова, д. 12;48,9;Оперативное управление
48;П1300000006936;63:09:0101150:10741;Нежилое здание;Детский сад;Самарская область, Автозаводский район, г. Тольятти, ул. Свердлова, д. 12;2555,5;Оперативное управление
49;П1300000008612;63:09:0101150:10742;Нежилое здание;Школа № 56;Самарская область, Автозаводский район, г. Тольятти, ул. Ворошилова, д. 28;10817,1;Оперативное управление
50;П1300000007800;63:09:0101150:10743;Нежилое здание;Школа;Самарская область, Автозаводский район, г. Тольятти, ул. Ворошилова, д. 32;10841,2;Оперативное управление
51;П1300000007807;63:09:0101150:10745;Нежилое здание;Школа;Самарская область, Автозаводский район, г. Тольятти, ул. Ворошилова, д. 37;10930,5;Оперативное управление
52;П1300000009001;63:09:0101150:10749;Нежилое здание;Овощехранилище;Самарская область, Автозаводский район, г. Тольятти, ул. Ворошилова, д. 51, стр. 1;53,1;Казна
53;П1300000012436;63:09:0101150:10750;Нежилое здание;Детский сад  № 189;Самарская область, Автозаводский район, г. Тольятти, ул. Ворошилова, д. 51;4221,3;Казна
54;П1300000012449;63:09:0101150:10751;Нежилое здание;Детский сад  № 184;Самарская область, Автозаводский район, г. Тольятти, ул. Ворошилова, д. 61;3208,1;Казна
55;П1300000008794;63:09:0101150:10752;Нежилое здание;Овощехранилище;Самарская область, Автозаводский район, г. Тольятти, ул. Ворошилова, д. 61, стр. 1;54,1;Казна
56;П1300000008627;63:09:0101150:10753;Нежилое здание;Школа;Самарская область, Автозаводский район, г. Тольятти, ул. Автостроителей, д. 92;10958,5;Оперативное управление
57;П1300000007097;63:09:0101150:10754;Нежилое здание;Хозблок;Самарская область, Автозаводский район, г. Тольятти, ул. Автостроителей, д. 92;55,2;Оперативное управление
58;П1300000008615;63:09:0101150:12026;Нежилое здание;Школа;Самарская область, Автозаводский район, г. Тольятти, ул. Автостроителей, д. 84;10837,8;Оперативное управление
59;П1300000007107;63:09:0101150:12027;Нежилое здание;Хозблок;Самарская область, Автозаводский район, г. Тольятти, ул. Автостроителей, д. 84;106,1;Оперативное управление
60;П1300000010685;63:09:0101150:12787;Нежилое здание;Овощехранилище;Самарская область, Автозаводский район, г. Тольятти, б-р Гая, д. 3, стр.;50,2;Оперативное управление
61;П1300000013116;63:09:0101150:12934;Нежилое здание;Сарай;Самарская область, Автозаводский район, г. Тольятти, ул. Ворошилова, д. 37;161,4;Оперативное управление
62;П1300000006960;63:09:0101150:764;Нежилое здание;"Детский сад № 181 ""Россияночка""";Самарская область, Автозаводский район, г. Тольятти, б-р Гая, д. 3;3923,8;Казна
