№ п/п;Номер в реестре;Кадастровый номер;Наименование;Адрес;Протяженность;Вид права
1;2;3;4;5;6;7
1;П1300000014794;;Участки сетей бытовой канализации (выпуски) от стены дома № 67 по ул. Ворошилова до первых смотровых колодцев № 32, 34, 35, 37, 38, 39, 41, 42, 43, 23;Самарская область, Автозаводский район, г. Тольятти, ул. Ворошилова, д. 67;58,0;Муниципальная казна
2;П1300000014795;;Участки сетей бытовой канализации (выпуски) от стены дома № 71 по ул. Ворошилова до первых смотровых колодцев № 105, 103, 102, 82, 83, 84, 86, 87, 89;Самарская область, Автозаводский район, г. Тольятти, ул. Ворошилова, д. 71;51,0;Муниципальная казна
3;П1300000014876;;Выпуски сетей бытовой канализации от многоквартирного жилого дома по ул. Карла Маркса, д. 55;Самарская область, Центральный район, г. Тольятти, ул. Карла Маркса, д. 55;14,0;Муниципальная казна
4;П1300000014796;;Участки сетей бытовой канализации (выпуски) от стены дома № 14 по ул. Свердлова до первых смотровых колодцев № 108, 109, 110, 111, 112, 113, 114, 115, 116, 122а;Самарская область, Автозаводский район, г. Тольятти, ул. Свердлова, д. 14;59,0;Муниципальная казна
5;П1300000014711;;Выпуски сетей бытовой канализации от многоквартирного жилого дома по б-ру Ленина, д. 20;Самарская область, Центральный район, г. Тольятти, б-р Ленина, д. 20;59,0;Муниципальная казна
6;П1300000014788;;Участки сетей бытовой канализации (выпуски) от стены дома № 122 по ул. 40 лет Победы до первых смотровых колодцев № 73, № 75, № 76, № 77, № 78, № 80, № 81;Самарская область, Автозаводский район, г. Тольятти, ул. 40 лет Победы, д. 122;37,0;Муниципальная казна
7;П1300000014742;;Сеть водоснабжения, проходящая через МКД по ул. Дзержинского, д. 7, д. 7А, д. 7Б;Самарская область, Автозаводский район, г. Тольятти, проходящая через МКД по ул. Дзержинского, д. 7, д. 7А, д. 7Б;131,0;Муниципальная казна
8;П1300000014875;;Выпуски сетей бытовой канализации от многоквартирного жилого дома по ул. Карла Маркса, д. 76;Самарская область, Центральный район, г. Тольятти, ул. Карла Маркса, д. 76;10,0;Муниципальная казна
9;П1300000014798;;Участки сетей бытовой канализации (выпуски) от стены дома № 25 по пр-ту Степана Разина до первых смотровых колодцев № 34, 35;Самарская область, Автозаводский район, г. Тольятти, пр-кт Степана Разина, д. 25;12,0;Муниципальная казна
10;П1300000014874;;Выпуски сетей бытовой канализации от многоквартирного жилого дома по ул. Мира, д. 29;Самарская область, Центральный район, г. Тольятти, ул. Мира, д. 29;9,0;Муниципальная казна
11;П1300000014787;;Участки сетей бытовой канализации (выпуски) от стены дома № 22 по ул. Жукова до первых смотровых колодцев № 16, № 17, № 18, № 5, № 4, № 3, № 2, № 1;Самарская область, Автозаводский район, г. Тольятти, ул. Маршала Жукова, д. 22;68,0;Муниципальная казна
12;П1300000014784;;Сети бытовой канализации в районе д. № 44 по ул. Ставропольская;Самарская область, Центральный район, г. Тольятти, ул. Ставропольская, д. 44;107,0;Муниципальная казна
13;П1300000014873;;Выпуски сетей бытовой канализации от многоквартирного жилого дома по ул. Гагарина, д. 2;Самарская область, Центральный район, г. Тольятти, ул. Гагарина, д. 2;9,0;Муниципальная казна
14;П1300000014872;;Участки сетей бытовой канализации (выпуски) от стены дома № 94 по ул. Мира до первых смотровых колодцев № КК171, 172, 173, 174, 175;Самарская область, Центральный район, г. Тольятти, ул. Мира, д. 94;47,0;Муниципальная казна
15;П1300000014871;;"Сеть бытовой канализации от корпусов № 1 и № 2 ГБУЗ СО ""Тольяттинская городская клиническая больница № 1 им. В.А. Гройсмана""";Самарская область, Центральный район, г. Тольятти, ул. Октябрьская, д. 68;156,0;Муниципальная казна
16;П1300000014710;;Сеть бытовой канализации в районе д. № 133 по ул. Мира;Самарская область, Центральный район, г. Тольятти, ул. Мира, д. 133;148,0;Муниципальная казна
17;П1300000014709;;Сеть бытовой канализации от жилых домов № 6 и № 8 по ул. Мира;Самарская область, Центральный район, г. Тольятти, ул. Мира, д. 6, 8;113,0;Муниципальная казна
18;П1300000014745;;Участок сети водоснабжения от колодца ВК-60 на ул. Суворова через ТК до здания по ул. Суворова, д. 41;Самарская область, Центральный район, г. Тольятти, проезд Суворова, д. 41а;38,0;Муниципальная казна
19;П1300000014777;;Сеть ливневой канализации, расположенная в районе здания № 53 по ул. Ленинградская Центрального района, от дождеприёмного колодца в районе дома № 51 по ул. Ленинградская до магистральной сети ливневой канализации по ул. Ленинградской;Самарская область, Центральный район, г. Тольятти, ул. Ленинградская, д. 51, 53;121,0;Муниципальная казна
20;П1300000014743;;Сеть водоснабжения, проходящая через МКД по ул. Дзержинского, д. 9, д. 9А и Автостроителей, д. 39;Самарская область, Автозаводский район, г. Тольятти, проходящая через МКД по ул. Дзержинского, д. 9, д. 9А и ул. Автостроителей, д. 39;133,0;Муниципальная казна
21;П1300000014791;;Участки сетей бытовой канализации (выпуски) от стены дома № 25 по б-ру Гая до первых смотровых колодцев № 72а, 72, 73, 74, 75, 76, 77, 78, 79. 80, 81, 82;Самарская область, Автозаводский район, г. Тольятти, б-р Гая, д. 25;70,0;Муниципальная казна
22;П1300000014778;;Сеть ливневой канализации по ул. Победы Центрального района, до сети ливневой канализации по ул. Комсомольская;Самарская область, Центральный район, г. Тольятти, по ул. Победы до сети ливневой канализации по ул. Комсомольская;707,0;Муниципальная казна
23;П1000000000490;;Участок автодороги от кольца по Ленинскому пр-ту с пересечением 40 лет Победы, до дороги по ул. Патрульная;Самарская область, Автозаводский район, г. Тольятти, от кольца по Ленинскому пр-ту с пересечением 40 лет Победы. до дороги по ул. Патрульная;212,0;Муниципальная казна
24;П1300000014783;;Участок сети ливневой канализации здания, расположенного по адресу: Автозаводский район, ул. Юбилейная, д. 31-З;Самарская область, Автозаводский район, г. Тольятти, ул. Юбилейная, д. 31а;195,0;Муниципальная казна
25;П1300000014801;;Участки сетей бытовой канализации (выпуски) от стены дома № 5 по ул. Фрунзе до первых смотровых колодцев № 42, 43, 44, 45;Самарская область, Автозаводский район, г. Тольятти, ул. Фрунзе, д. 5;26,0;Муниципальная казна
26;П1300000014508;;Участок сети теплоснабжения от теплового пункта до здания, расположенного по адресу: ул. Ларина, 149, строение 1;Самарская область, Центральный район, г. Тольятти, ул. Ларина, д. 149, стр. 1;312,0;Муниципальная казна
27;П1300000014738;;Сеть теплоснабжения, проходящая через МКД по ул. Дзержинского, д. 3, д. 3А, д. 3Б;Самарская область, Автозаводский район, г. Тольятти, проходящая через МКД по ул. Дзержинского, д. 3, д. 3А, д. 3Б;132,0;Муниципальная казна
28;П1300000014785;;Сети бытовой канализации в районе д. № 89 по ул. Советская;Самарская область, Центральный район, г. Тольятти, ул. Советская, д. 89;46,0;Муниципальная казна
29;П1300000014779;;Участок сети ливневой канализации от начального колодца с южной стороны здания, имеющего адрес: Центральный район, д. 105 (ул. Мира) до сети ливневой канализации, проходящей вдоль д. 23 по ул. Карбышева;Самарская область, Центральный район, г. Тольятти, ул. Карбышева, д. 23;228,0;Муниципальная казна
30;П1300000014915;;Лоток и сеть ливневой канализации на пересечении ул. Ленина и бульвара 50 лет Октября;Самарская область, Центральный район, г. Тольятти, пересечение ул. Ленина и бульвара 50 лет Октября;239,0;Муниципальная казна
31;П1300000014782;;Сеть ливневой канализации от здания, расположенного по адресу: Автозаводский район, пр-т Ленинский, д. 17;Самарская область, Автозаводский район, г. Тольятти, пр-кт Ленинский, д. 17;326,0;Муниципальная казна
32;П1300000014780;;Сеть ливневой канализации от здания, имеющего адрес: Комсомольский район, ул. Механизаторов, д. 23 до магистральной сети по ул. Механизаторов;Самарская область, Комсомольский район, г. Тольятти, ул. Механизаторов, д. 23;73,0;Муниципальная казна
33;П1300000014781;;Сеть ливневой канализации от здания, имеющего адрес: Центральный район, ул. Индустриальная, д. 9 до магистральной сети по ул. Комсомольская;Самарская область, Центральный район, г. Тольятти, ул. Индустриальная, д. 9;230,0;Муниципальная казна
34;П1300000014744;;Участок сети водоснабжения по пер. К.Белова от ВК-5 до ВК-1;Самарская область, Центральный район, г. Тольятти, пер. Кирилла Белова;136,0;Муниципальная казна
35;П1300000014892;;Участки сетей бытовой канализации (выпуски) от стены дома № 23 по б-ру Гая до первых смотровых колодцев №№ 61, 62, 63, 19, 64;Самарская область, Автозаводский район, г. Тольятти, б-р Гая, д. 23;47,0;Муниципальная казна
36;П1300000014887;;Выпуски сетей бытовой канализации от многоквартирного жилого дома по ул. Ушакова, д. 42;Самарская область, Центральный район, г. Тольятти, ул. Ушакова, д. 42;27,0;Муниципальная казна
37;П1300000014886;;Выпуски сетей бытовой канализации от многоквартирного жилого дома по ул. Ушакова, д. 40а;Самарская область, Центральный район, г. Тольятти, ул. Ушакова, д. 40А;20,0;Муниципальная казна
38;П1300000014885;;Выпуски сетей бытовой канализации от многоквартирного жилого дома по ул. Ленина, д. 119;Самарская область, Центральный район, г. Тольятти, ул. Ленина, д. 119;20,0;Муниципальная казна
39;П1300000014740;;Сеть теплоснабжения, проходящая через МКД по ул. Дзержинского, д. 9, д. 9А и Автостроителей, д. 39;Самарская область, Автозаводский район, г. Тольятти, проходящая через МКД по ул. Дзержинского, д. 9, д. 9А и ул. Автостроителей, д. 39;131,0;Муниципальная казна
40;П1300000014739;;Сеть теплоснабжения, проходящая через МКД по ул. Дзержинского, д. 7, д. 7А, д. 7Б,;Самарская область, Автозаводский район, г. Тольятти, проходящая через МКД по ул. Дзержинского, д. 7, д. 7А, д. 7Б;134,0;Муниципальная казна
41;П1300000014884;;Выпуски сетей бытовой канализации от многоквартирного жилого дома по ул.Ленина, д. 51;Самарская область, Центральный район, г. Тольятти, ул. Ленина, д. 51;30,0;Муниципальная казна
42;П1300000014741;;Сеть водоснабжения, проходящая через МКД по ул. Дзержинского, д. 3, д. 3А, д. 3Б;Самарская область, Автозаводский район, г. Тольятти, проходящая через МКД по ул. Дзержинского, д. 3, д. 3А, д. 3Б;130,0;Муниципальная казна
43;П1000000000489;;Автодорога на участке от ул. Новозаводская до дома № 16а по ул. Голосова;Самарская область, Центральный район, г. Тольятти, от ул. Новозаводская до дома № 16а по ул. Голосова;175,0;Муниципальная казна
