№п/п;Номер в реестре;Кадастровый номер;Наименование;Адрес;Площадь (текущая);Площадь застройки;Вид права
1;2;3;4;5;6;7;8
1;П1200000000012;63:09:0101166:672;Подземный переход (Пешеходный тоннель);Самарская область, Автозаводский район, г. Тольятти, северо-западнее здания, имеющего адрес: проспект Степана Разина, д.25;;594,4;Муниципальная казна
2;П1300000012130;63:09:0000000:7424;Транспортная развязка с городскими дорогами и элементами обустройства центра города;Самарская область, Автозаводский район, г. Тольятти, северо-восточнее и юго-западнее здания, имеющего адрес: улица Юбилейная, 8;57956,6;57956,6;Оперативное управление
3;П1300000012564;;Тяговая подстанция № 26;Самарская область, Автозаводский район, г. Тольятти;;;Муниципальная казна
4;П1300000013818;63:09:0302049:1747;Объект незавершенного строительства;Самарская область, Центральный район, г. Тольятти, ул. Радищева, д. 45;1629,2;;Муниципальная казна
5;П1300000013819;63:09:0302049:1746;Объект незавершенного строительства (склад);Самарская область, Центральный район, г. Тольятти, ул. Радищева, д. 45, стр. стр.1;1193,4;1193,4;Муниципальная казна
6;П1300000013867;63:09:0301167:4147;Объект незавершенного строительства;Самарская область, Центральный район, г. Тольятти, ул. Ларина, д. 2;2931,7;2931,7;Муниципальная казна
7;П1300000013872;63:09:0102161:693;Объект незавершенного строительства (Территория стрелково-стендового комплекса - кирпичный домик для метательных устройств);"Самарская область, Автозаводский район, г. Тольятти, ш. Южное, санитарно-защитная зона ОАО ""АВТОВАЗ"" (на земельном участке с кадастровым номером 63:09:0102161:564)";4,2;4,2;Оперативное управление
8;П1300000013873;63:09:0102161:691;Объект незавершенного строительства (Территория стрелково-стендового комплекса - кирпичный домик для метательных устройств);"Самарская область, Автозаводский район, г. Тольятти, ш. Южное, санитарно-защитная зона ОАО ""АВТОВАЗ"" (на земельном участке с кадастровым номером 63:09:0102161:564)";4,2;4,2;Оперативное управление
9;П1300000013874;63:09:0102161:699;Объект незавершенного строительства (Территория технического музея - здание тира);"Самарская область, Автозаводский район, г. Тольятти, ш. Южное, санитарно-защитная зона ОАО ""АВТОВАЗ"" (на земельном участке с кадастровым номером 63:09:0102161:570)";1432,8;;Оперативное управление
10;П1300000013884;63:09:0102161:692;Объект незавершенного строительства (территория стрелково-стендового комплекса-тир для пневматического оружия);"Самарская область, Автозаводский район, г. Тольятти, ш. Южное, санитарно-защитная зона ОАО ""АВТОВАЗ"" (на земельном участке с кадастровым номером 63:09:0102161:564)";258;258;Оперативное управление
11;П1300000013915;63:09:0102161:689;Территория стрелково-стендового комплекса - 2-х этажное здание (АБК), а также входящий в состав здания тир для нарезного оружия (незавершенное строительство);"Самарская область, Автозаводский район, г. Тольятти, ш. Южное, санитарно-защитная зона ОАО ""АВТОВАЗ"" (на земельном участке с кадастровым номером 63:09:0102161:564)";386,6;386,6;Оперативное управление
12;П1300000013916;63:09:0102161:690;Территория стрелково-стендового комплекса - КПП (незавершенное строительство);"Самарская область, Автозаводский район, г. Тольятти, ш. Южное, санитарно-защитная зона ОАО ""АВТОВАЗ"" (на земельном участке с кадастровым номером 63:09:0102161:564)";25,1;25,1;Оперативное управление
13;П1300000013917;63:09:0102161:694;Объект незавершенного строительства (Территория стрелково-стендового комплекса - кирпичный домик для метательных устройств);"Самарская область, Автозаводский район, г. Тольятти, ш. Южное, санитарно-защитная зона ОАО ""АВТОВАЗ"" (на земельном участке с кадастровым номером 63:09:0102161:564)
";4,2;4,2;Оперативное управление
14;П1300000013928;63:09:0102161:695;Объект незавершенного строительства (территория стрелково-стендового комплекса-подземная бетонная конструкция для метательных устройств);"Самарская область, Автозаводский район, г. Тольятти, ш. Южное, санитарно-защитная зона ОАО ""АВТОВАЗ"" (на земельном участке с кадастровым номером 63:09:0102161:564)";231;231;Оперативное управление
15;П1300000013929;63:09:0102161:696;Объект незавершенного строительства (Территория стрелково-стендового комплекса - кирпичный домик для метательных устройств);"Самарская область, Автозаводский район, г. Тольятти, ш. Южное, санитарно-защитная зона ОАО ""АВТОВАЗ"" (на земельном участке с кадастровым номером 63:09:0102161:564)";4,2;4,2;Оперативное управление
16;П1300000013947;63:09:0102161:697;Объект незавершенного строительства (Территория технического музея - главный павильон);"Самарская область, Автозаводский район, г. Тольятти, ш. Южное, санитарно-защитная зона ОАО ""АВТОВАЗ"" (на земельном участке с кадастровым номером 63:09:0102161:631)";4608;4608;Оперативное управление
17;П1300000014232;63:09:0102152:784;Объект незавершенного строительства;Самарская область, Автозаводский район, г. Тольятти, северо-восточнее здания, имеющего адрес: ул.Ботаническая, 34;;16000;Муниципальная казна
