№ п/п;Номер в реестре;Кадастровый номер;Вид объекта;Адрес;Площадь (текущая);Вид права пользования
1;2;3;4;5;6;7
1;П1100000028462;63:37:2001011:70;Земельный участок;"Шигонский район , с.Березовка, оздоровительный лагерь ""Звездочка""";129000,0;Постоянное (бессрочное) пользование
2;П1100000030746;63:09:0305025:2047;Земельный участок;Центральный район, Самарская область, Тольяттинское участковое лесничество Тольяттинского лесничества городского округа Тольятти, часть квартала № 22, части выделов 52,57,59,66;37439,0;Муниципальная казна
3;П1100000030634;63:09:0303071:757;Земельный участок;Центральный район, Самарская область, Обводное шоссе, д.72;41,0;Муниципальная казна
4;П1100000030628;63:09:0303065:2;Земельный участок;Центральный район, Самарская область, Обводное шоссе, д.64;3437,0;Муниципальная казна
5;П1100000030632;63:09:0303071:571;Земельный участок;Центральный район, Самарская область, Обводное шоссе, д.50;2665,0;Муниципальная казна
6;П1100000030633;63:09:0303071:630;Земельный участок;Центральный район, Самарская область, Обводное шоссе, д.36;5797,0;Муниципальная казна
7;П1100000029535;63:09:0304062:1025;Земельный участок;Центральный район, Самарская область, городской округ Тольятти, Тольяттинское участковое лесничество Тольяттинского лесничества, Часть квартала №11, выделы 38, часть выделов 23,29,35,36,37;74226,0;Муниципальная казна
8;П1100000029536;63:09:0304062:1026;Земельный участок;Центральный район, Самарская область, городской округ Тольятти, Тольяттинское участковое лесничество Тольяттинского лесничества, Часть квартала №11, выделы 1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,24,25,26,27,28,31,32,33,34,39,40,41, часть выделов 23,29,35,36,37;1045370,0;Муниципальная казна
9;П1100000029531;63:09:0304060:666;Земельный участок;Центральный район, Самарская область, городской округ Тольятти, Тольяттинское участковое лесничество Тольяттинского лесничества, квартал № 46, выделы 1,2,3,4,5,6,7,8,9,10,11,12,13,14,15;586830,0;Муниципальная казна
10;П1100000029532;63:09:0304060:667;Земельный участок;Центральный район, Самарская область, городской округ Тольятти, Тольяттинское участковое лесничество Тольяттинского лесничества, квартал № 45, выделы 1,2,3,4,5,6,7,8,9,10,11,12,13,14,1516,17,18,19,20;564118,0;Муниципальная казна
11;П1100000029529;63:09:0304060:664;Земельный участок;Центральный район, Самарская область, городской округ Тольятти, Тольяттинское участковое лесничество Тольяттинского лесничества, квартал № 41, выделы 2,3,4,5,6,7,8,9,10,11,12,13,14,15, 16,17,18,19,20,21,22,23,24,25;600850,0;Муниципальная казна
12;П1100000029530;63:09:0304060:665;Земельный участок;Центральный район, Самарская область, городской округ Тольятти, Тольяттинское участковое лесничество Тольяттинского лесничества, квартал № 40, выделы 1,2,3,4,5,6,7,8,9,10,11,12;364024,0;Муниципальная казна
13;П1100000029533;63:09:0304061:1095;Земельный участок;Центральный район, Самарская область, городской округ Тольятти, Тольяттинское участковое лесничество Тольяттинского лесничества, квартал № 32, выделы 1,2,3,4,5,6,7;338055,0;Муниципальная казна
14;П1100000029534;63:09:0304061:1096;Земельный участок;Центральный район, Самарская область, городской округ Тольятти, Тольяттинское участковое лесничество Тольяттинского лесничества, квартал № 30, выделы 1,2,3,4,5,6,7,8,10,11,12,13,14,15,17,18,19;631892,0;Муниципальная казна
15;П1100000029528;63:09:0304060:663;Земельный участок;Центральный район, Самарская область, городской округ Тольятти, Тольяттинское участковое лесничество Тольяттинского лесничества, квартал № 28, выделы 1,2,3,4,5,6,7,8,9,10,11,12,13,14, 15,16,17,18,19;1019845,0;Муниципальная казна
16;П1100000029537;63:09:0304063:512;Земельный участок;Центральный район, Самарская область, городской округ Тольятти, Васильевское участковое лесничество Тольяттинского лесничества, квартал № 2, выделы 1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28;577820,0;Муниципальная казна
17;П1100000004441;63:32:1605001:5;Земельный участок;"Ставропольский район , Ягодинское лесничество, квартал №3, ДОЛ ""Дубрава""";53813,0;Постоянное (бессрочное) пользование
18;П1100000028138;63:32:1804008:2;Земельный участок;"Ставропольский район , Федоровские луга, база отдыха ""Лесобон""";54654,0;Постоянное (бессрочное) пользование
19;П1100000028335;63:32:1401009:8301;Земельный участок;Ставропольский район , уст-но относительно ориентира земли к-за им.К.Маркса;400000,0;Муниципальная казна
20;П1100000028137;63:32:1605001:3;Земельный участок;"Ставропольский район , Ставропольский лесхоз, Ягодинское лесничество, квартал №5, ДОЛ ""Электроник""";98000,0;Постоянное (бессрочное) пользование
