№ п/п;Наименование;Адрес;Год;Форма собственности;В ведении;Длина;Ширина;Общая площадь;Мест
1;"Бассейн УСК""Олимп"" основная ванна(8 дорожек)";Приморский б-р, 27а;1985/1995;Муниципальная;"МБУДО СШОР № 10 """"Олимп""""";50;21;1050;96
2;"Бассейн УСК""Олимп"" учебно-тренировочная ванна (6 дорожек)";Приморский б-р, 27а;1985/1996;Муниципальная;"МБУДО СШОР № 10 """"Олимп""""";25;15;375;48
3;"Бассейн УСК""Олимп"" прыжковая ванна (5 устройств)";Приморский б-р, 27а;1985/1997;Муниципальная;"МБУДО СШОР № 10 """"Олимп""""";19;15;285;30
4;"Бассейн С/К ""Старт"" (5 дорожек)";ул. Республиканская,1;1973;Муниципальная;"МБУДО СШОР № 3 """"Легкая атлетика""""";25;14;350;40
5;Бассейн МОУ СШ 87 (3 дорожки);ул. Тополиная, 18;1995;Муниципальная;МОУ СОШ № 87;25;9;225;24
6;"Бассейн ""Дельфин"" (5 дорожек)";ул. Карбышева, 1а(ул. Комсомольская, 165);1977;Областная;ГБОУ СПО ТПК;25;13;313;40
7;"Бассейн ФОК """"Слон""""";ул.М.Жукова, 13б;1991;Муниципальная;"МБУ СШОР № 2 """"Красные крылья""""";12;8;96;16
8;Бассейн;ул.Сиреневая, 24;1992;Муниципальная;МОУ СОШ № 25;12;6;72;16
9;Бассейн (3 дорожки);ул.Татищева, 19;2000;Муниципальная;МОУ СОШ № 90;25;9;225;21
10;Бассейн (4 дорожки);ул. 40 лет Победы, 10;2012;Муниципальная;МОУ СОШ № 93;25;12;300;28
11;Бассейн ;ул. М. Жукова, 56;2002;Областная;ГС(К)ОУ школа-интернат № 4;11;9;105;16
12;Бассейн (5 дорожек);ул. Фрунзе, 2г;1996;Федеральная;ФГБОУ ВПО ТГУ;25;9;213;35
13;Бассейн ФАУ МО РФ ЦСКА г.Самара (в г.о.Тольятти);ул. Ворошилова, 2а;2006;Федеральная;ФАУ МО РФ ЦСКА г.Самара(в г.о.Тольятти);25;13;313;35
15;Бассейн (3 дорожки) крытый;ул. Спортивная, 19;2013;Частная;"ООО """"Центр-фитнес"""" (СК """"Дэвис"""")";25;6;150;21
16;Бассейн (детский) крытый;ул. Спортивная, 19;2013;Частная;"ООО """"Центр-фитнес"""" (СК """"Дэвис"""")";12;6;72;16
17;Бассейн  уличный;ул. Спортивная, 19;2013;Частная;"ООО """"Центр-фитнес"""" (СК """"Дэвис"""")";21;8;168;16
19;Бассейн;ул. Баныкина, 19А;2014;Частная;"ЗАО """"Тольттистройзаказчик""""";44;16;704;16
20;Бассейн;ул. Баныкина, 19А;2014;Частная;"ЗАО """"Тольттистройзаказчик""""";25;10;250;10
21;Бассейн 1;ул. Карла Маркса, 37;2016;Государственная;"ГАУ СО РЦСП ""Арена""";25;12;300;48
22;Бассейн 2 детский;ул. Карла Маркса, 37;2016;Государственная;"ГАУ СО РЦСП """"Арена""""";сложной формы;сложной формы;158;16
23;"Бассейн ФОК """"Чайка"""" (ТГУ)";ул.Ушакова, 61;2022;Федеральная;ФГБОУ ВПО ТГУ;25;16;400;64
24;Бассейн;ул.Коммунистическая, 88;2022;Федеральная;"ФОК """"Певческое Поле""""";25;12;300;48
25;Бассейн детский;ул.Коммунистическая, 89;2022;Федеральная;"ФОК """"Певческое Поле""""";17;17;289;16
26;Бассейн детский;ул.Льва Яшина, 18;2023;Муниципальная;"МБУ ""Образовательный центр ""Галактика""";25;11;275;40
27;Бассейн детский;ул.Коммунистическая, 12;2000;Частная;"ЧУ ""Центр отдыха ТОАЗ"" (ДК)";25;6;150;16
