№п/п;Наименование объекта (в соответствии с документом о принятии на охрану);Адрес объекта по нормативному документу;Время создания объекта/исторического события;Вид объекта;Документ утверждения границ территории;Документ утверждения зоны охраны;Документ принятия на охрану;Категория;Регистрационный номер в реестре
1.                    ;Кинотеатр «Буревестник»;г. Тольятти, ул. Карла Маркса, 27, литера А;1954 г.;памятник градостроительства и архитектуры;приказ Управления от 16.01.2019 №3;;Приказ Управления от 16.01.2019 №3;Рег;
2.                    ;Летом 1877 г.  у сестры  М.А.Ульяновой - С,.А.Лавровой отдыхала  семья Ульяновых, в т.ч. В.И.Ленин (памятное место);г. Тольятти (Ставрополь);1877г.;памятное  место;;;РОИ 08.06.88 г.  № 238;Рег.;631731292590005
3.                    ;Здание народного суда;г. Тольятти,  ул. К. Маркса, д. 40А;1955 - 1959 гг.;памятник архитектуры;;;Постановление Правительства Самарской области № 376 от 08.08.2013;Рег;631510256540005
4.                    ;"Главный корпус санатория ""Лесное"" (достопримечательное место)";г. Тольятти, Лесопарковое шоссе, д. 2;1908 - 1910 гг.;памятное место;;;Постановление Правительства Самарской области № 376 от 08.08.2013;Рег;631510284790005
5.                    ;Церковь во имя Святой Великомученицы Варвары;г. Тольятти, п. Федоровка,  ул. Кооперативная, д. 27а;1846 г.;памятник архитектуры;;;Постановление Правительства Самарской области № 376 от 08.08.2013;Рег;631711284860005
6.                    ;Ансамбль застройки площади Свободы;г. Тольятти, пл. Свободы, д. 2, пл. Свободы, 4, литера А, пл. Свободы, 9;1955 - 1959 гг.;памятник архитектуры;приказ управления от 07.12.2018 №112;приказ управления от 07.12.2018 №112;"Постановление Правительства Самарской области № 376 от 08.08.2013; Приказ Управления №27 от 11.12.2015 (уточнение сведения)";Рег;
7.                    ;Здание Горкома КПСС;г. Тольятти, площадь Центральная, д. 4;1957 г.;памятник архитектуры;приказ Управления от 13.02.2019 №20;приказ Управления от 13.02.2019 №20;Постановление Правительства Самарской области № 376 от 08.08.2013;Рег;631510255020005
8.                    ;"Гостиница-дача ""Белокаменная""";г. Тольятти, ул. Комзина, д. 8а;1957 г.;памятник архитектуры;;;Постановление Правительства Самарской области № 376 от 08.08.2013;Рег;631510255100005
9.                    ;Здание школы N 6 в пос. Комсомольский;г. Тольятти, ул. Мурысева, д. 61;1951 г.;памятник архитектуры;приказ Управления от 16.01.2019 №2;приказ Управления от 16.01.2019 №2;Постановление Правительства Самарской области № 376 от 08.08.2013;Рег;631510255610005
10.                ;Здания медпункта (золотошвейная) и школы (кельи, иконописная), входившие в комплекс земской больницы, занимаемых ПРО «Воскресенский мужской монастырь;г. Тольятти, ул. Нагорная, д. 1а, литеры А4,А5;1902 г.;памятник архитектуры;;;Постановление Правительства Самарской области № 376 от 08.08.2013;Рег;631520282670005
11.                ;Ансамбль исторической застройки поселка Шлюзовой Арх. И.Г. Ромм, Е.А. Юзбашева, В. Мухин, М.А. Самохвалова, И.Е. Рожин, И.Г. Буров;"г. Тольятти, ул. Носова, 3, ул. Носова, 5; ул. Никонова, 2/ул. Носова, 1; ул. Никонова, 7/ул. Крылова, 3; ул. Никонова, 8/ул. Крылова, 1/ ул. Носова, 7; ул. Никонова, 9/ул.Крылова, 4; ул. Носова, 11, ул. Носова, 10";1956 -  1964 гг.;ансамбль архитектуры;приказ управления от 20.12.2018 №115;приказ управления от 20.12.2018 №115;Постановление Правительства Самарской области № 376 от 08.08.2013;Рег;
12.                ;Дом, в котором останавливался в 1870 году И.Е.Репин;г. Тольятти, ул. Репина, 8;1870г.;памятник истории;приказ Управления 12.11.2018 №102;приказ Управления 12.11.2018 №102;Р.ОИ 21.12.70 г.  № 735;Рег.;631510256070005
13.                ;"Произведение монументального искусства ""Мозаичное панно «Праздник автостроителей», расположенное на фасаде торгового центра ""Волжские зори"", художник - Виталий Петрович Петров (Праски Витти). ";пр-т. Степана Разина, 8;1980г.;Памятник монументально-декоративного искусства;-;-;Приказ УГООКН от 20.02.2023 № 57;-;-
