№ п/п;Наименование
1;Федерация Армейского рукопашного боя Самарской области
2;Тольяттинский спортивно-технический клуб Лада
3;Ассоциация Купол
4;Гандбольный клуб Лада
5;АНО Поддержки и развития гандбольного клуба Лада
6;Детско-юношеский спортивный клуб Атлант
7;Федерация тяжелой атлетики
8;Спортклуб МСП
9;Федерация Шахмат
10;Федерация армейского рукопашного боя - отделение Капоэйра
11;Алтек
12;Физкультурно-оздоровительный реабилитационный центр Слон
13;АНО Патриот
14;НКО Клуб Моржи
15;АНО Спортивный клуб МТП
16;Академия Гольфа
17;ТСК Эксклюзив (школа танцев)
18;Спортивный конно-оздоровительный комплекс Гран-при
19;Самарская областная Федерация по прыжкам в воду
20;Клуб бокса Гайдаровец
21;Н.П. Альтаир
22;Яхт-клуб Остров Сокровищ
23;Спортивный союз стилевого каратэ Самарской области
24;Федерация Косики каратэ Самарской области
25;ГАУ СШОР №1
26;ГАУ СШОР №6
27;Самарская (Тольяттинская) федерация киокусинкай каратэ-до
28;Школа спортивной борьбы Тольятти
29;Поволжская академия боевых искусств
30;Школа восточных единоборств Сандорюкан
31;Спортивный клуб Мега-Лада
32;Образовательно-спортивный центр акробатики Акро-Спорт
33;Федерация спортивной акробатики Самарской области
34;Федерация прыжков на батуте Самарской области
35;Федерация мотоциклетного спорта Самарской области
36;Федерация Айкидо Айкикай г.Тольятти
37;Федерация Джиу-Джитсу Самарской области
38;АНО Победа-Спорт
39;Федерация Такемусу Айкидо Самарской области
40;НП Клуб моделистов Комета
41;НП Клуб Боевые перчатки
42;Спортклуб Перспектива-С
43;Федерация горнолыжного спорта и сноуборда Тольятти
44;Тольяттинский детско-юношеский клуб фигурного и синхронного катания на коньках и танца
45;Самарская областная федерация Ушу
46;Центр Ушу и цигун У Дэ
47;Детско-юношеский спортивно-эстетический клуб Каскад
48;Федерация вольной борьбы города Тольятти
49;Федерация спортивного бриджа Самарской области
50;Федерация всестилевого каратэ России
51;Федерация кикбоксинга
52;Спортивный клуб Арсенал
53;Баскетбольная лига Тольятти
54;Волга кантри Челлендж
55;Горный клуб Монолит, АНО
56;Спортивно-туристический клуб Вольный ветер
57;Тольяттинская лига Дворового Футбола
