№;Наименование учреждения;Email;Телефон;Адрес
1;Государственное казенное учреждение Самарской области «Комплексный центр социального обслуживания населения Центрального округа»;kcson-tlt@socio.samregion.ru   ;"приемная  8(8482)79 90 42 (факс); первичный прием, предварительная запись 8(8482)79 94 90";445011, Самарская область, г. Тольятти, ул. К. Маркса, д. 40
2;Государственное казенное учреждение Самарской области «Комплексный центр социального обслуживания населения Центрального округа» - отделение по Центральному району ;semija-tlt@mail.ru;8(8482) 77 19 43, 31 14 10, 79 91 07, 79 91 05;Самарская область, г. Тольятти, ул. Карбышева, д. 9
3;Государственное казенное учреждение Самарской области «Комплексный центр социального обслуживания населения Центрального округа»- отделение по Автозаводскому району;semija-tlt@mail.ru;;"Самарская область, г. Тольятти, б-р. Орджоникидзе, д. 16; ул. Буденного, д. 6"
4;Государственное казенное учреждение Самарской области «Комплексный центр социального обслуживания населения Центрального округа» - отделение по Комсомольскому району;csotlt-koms@socio.samregion.ru;8(8482) 79 91 16, 79 91 37, 79 90 26, 79 90 28;Самарская область, г. Тольятти, ул. Никонова, д. 2
5;Государственное казенное учреждение Самарской области «Комплексный центр социального обслуживания населения Центрального округа» - отделение г.о. Жигулевск;semija-tlt@mail.ru;8(84862)7 19 33, 7 99 05, 7 99 08;г. о. Жигулевск, мкр. В-1, д. 31
6;Государственное казенное учреждение Самарской области «Комплексный центр социального обслуживания населения Центрального округа»- отделение м.р.Ставропольский;semija-tlt@mail.ru;8(8482)77-44-89, 36-15-80, 79-90-45;
7;Государственное казенное учреждение Самарской области «Главное управление социальной защиты Центрального округа»;usztlt@socio.samregion.ru,uszzhigul@socio.samregion.ru, sobes45@socio.samregion.ru;"приемная 8(8482)54-31-00; Отдел по работе с обращениями граждан и организации выплат: 8(8482)54-30-19; Отдел организации социального обслуживания: 8(8482)54-30-93, 8(8482)54-30-56";Юридический адрес:445010, РФ, Самарская область, г. Тольятти, ул. Мира, 43, Местоположение:445009, г. Тольятти, ул. Октябрьская, 59.
8;Государственное казенное учреждение Самарской области «Главное управление социальной защиты Центрального округа- Отделы назначения адресной социальной помощи по Автозаводскому району:(зона обслуживания - 1, 2, 3, 3а, 3б, 4, 5, 6, 7, 8, 9, 10, 11, 15, 18, 19, МЖК и комп. общежития);;8(8482)54-30-06, 54-32-26, 8(8482)54-43-04;445037, г. Тольятти, б-р Орджоникидзе, 16
9;Государственное казенное учреждение Самарской области «Главное управление социальной защиты Центрального округа- Отделы назначения адресной социальной помощи по Автозаводскому району:(зона обслуживания - 12, 13, 14, 16, 17, 20, 21 кварталы);;8(8482)54-32-97;445056, г. Тольятти , ул. Автостроителей, 57
10;Государственное казенное учреждение Самарской области «Главное управление социальной защиты Центрального округа- Отделы назначения адресной социальной помощи по Центральному району;;8(8482)54-30-52, 54-32-29, 54-32-64;445021, г. Тольятти, ул. Голосова, 99
11;Государственное казенное учреждение Самарской области «Главное управление социальной защиты Центрального округа- Отделы назначения адресной социальной помощи по Комсомольскому району;;8(8482)54-45-95, 54-46-94, 8(8482)54-31-30;445012, г. Тольятти, ул. Матросова, 19д.
