№ п/п;Наименование спортивнной школы;Адрес;Ф.И.О. руководителя;Телефон;;;
1;МБУДО СШ № 1 «Лыжные гонки»;445051 РФ, Самарская область, г.Тольятти, ул. Маршала Жукова, 49;Халаман Дмитрий Иванович;76-65-40;;;
2;МБУДО СШ № 2 «Ювента»;445051 РФ, Самарская область, г.Тольятти, ул. Маршала Жукова, 13 Б;Иванина Наталья Николаевна;69-23-77, 69-23-88;;;
3;МБУДО СШОР № 3 «Легкая атлетика»;445020 РФ, Самарская область, г.Тольятти, ул. Республиканская, 1;Шутов Дмитрий Анатольевич;48-28-50, 48-29-46;;;
4;МБУДО СШОР № 4 «Шахматы»;445026 РФ, Самарская область, г.Тольятти, ул. ул. Революционная, 11 В;Салахова Гульнара Равильевна;55-19-51, 55-97-08;;;
5;МБУ СШОР № 5 «Спортивная борьба»;445012 РФ, Самарская область, г.Тольятти, ул. Коммунистическая, 45 Б;Капралов Валерий Анатольевич;79-57-00;;;
6;МБУДО СШОР № 6 «Теннис»;445021 РФ, Самарская область, г.Тольятти, ул. Баныкина 19 А;Зимин Андрей Владимирович;40-16-03;;;
7;МБУДО СШОР № 7 «Акробат»;445012 РФ, Самарская область, г.Тольятти, ул. Матросова, 5 А;Решетникова Светлана Васильевна;55-95-14, 55-95-11;;;
8;МБУДО СШОР № 8 «Союз»;"445027 РФ, Самарская область, г.Тольятти, 
б-р Буденного, 20";Мазуров Андрей Александрович;35-63-96;;;
9;МБУДО СШ № 9 «Велотол»;445011 РФ, Самарская область, г.Тольятти, ул. Строителей, 12 А;Лаптева Анна Александровна; 28-05-31;;;
10;МБУДО СШОР № 10 «Олимп»;"445057 РФ, Самарская область, г.Тольятти, 
б-р Приморский, 49";Степанов Андрей Витальевич;35-34-55;;;
11;МБУДО СШОР № 11 «Бокс»;445046 РФ, Самарская область, г. Тольятти ул. Лизы Чайкиной, 35;Купаев Александр Атькалиевич;70-34-55, 77-64-56;;;
12;МБУДО СШ № 12 «Лада»;445028 РФ, Самарская область, г.Тольятти, ул. Революционная, 80;Малахов Олег Владимирович;58-09-52, 58-09-23;;;
13;МБУДО СШОР №13 «Волгарь»;"445028 РФ, Самарская область, г.Тольятти,  
б-р Приморский, 37";Дементьев Дмитрий Васильевич;35-53-59;;;
14;МБУДО СШОР № 14 «Жигули»;445003 РФ, Самарская область, г. Тольятти, Комсомольское шоссе, 26;Горячева Елена Александровна;57-00-51, 57-00-53;;;
15;МБУС ЦФиС г.о.Тольятти;445011 РФ, Самарская область, г.Тольятти, ул. Карла Маркса, 30;Данилова Ольга Александровна; 28-10-80;;;
;;;;;;;
