№ п/п;Адрес установки таксофона;Абонентский номер
1;г. Тольятти, б-р Здоровья, 25, Медгородок, инфекционный к., 1 эт.;88482660756
2;г. Тольятти, б-р Здоровья, 25, Медгородок, терапевтический к., 8 эт, АБ,;88482660521
3;г. Тольятти, ул. Октябрьская, 68, Горбольница №1, главн. корп., 1 эт., лев;88482284860
4;г. Тольятти, ул. Октябрьская, 68, Горбольница №1, администрация, 2 эт;88482284861
5;г. Тольятти, б-р Здоровья, 25, Медгородок, детский к., 4 эт;88482660646
6;г. Тольятти, ул. Баныкина, 8, Больница, 12 корп., 4 этаж;88482282412
7;г. Тольятти, ул. Октябрьская, 68 Горбольница №1, главн. корп., 1 эт., пр.;88482224675
8;г. Тольятти, ул. Баныкина, 8, Больница им. Баныкина, 4 к., 2-3 эт.;88482402205
9;г. Тольятти, ул. Баныкина, 8, Больница, 12 корп., 3 этаж;88482486674
10;г. Тольятти, ул. Самарская, 68, 22 АТС, уличная стойка, левый;88482250920
11;г. Тольятти, ул. Самарская, 68, 22 АТС, уличная стойка, правый;88482250907
12;г. Тольятти, ул. Октябрьская, 68, Горбольница №1, глав. корпус, 3 этаж;88482250716
13;г. Тольятти, ул. Тополиная, 26, 30 ОЭС, 3 каб;88482753295
14;г. Тольятти, ул. Тополиная, 26, 30 ОЭС, 1 каб;88482753293
15;г. Тольятти, б-р Здоровья, 25, Медгородок, терапевтический к., 3 эт;88482660366
16;г. Тольятти, ул. Тополиная, 26, 30 ОЭС, 6 кабина;88482728950
17;"г. Тольятти, Приморский б-р, 37, Дворец спорта ""Волгарь"", север";88482340685
18;"г. Тольятти, ул. Жукова, 39, СП ""Прилесье"", левое крыло, левый";88482341365
19;г. Тольятти, ул. Механизаторов, 37, Больница, 4 этаж;88482245936
20;г. Тольятти, ул. Механизаторов, 37, Больница, 5 этаж;88482240083
