№;Наименование;Адрес;ФИО руководителя;Телефон;Электронная почта;Официальный сайт;Дополнительная информация
1;"ГБУ3 СО ""ТОЛЬЯТТИНСКАЯ ГОРОДСКАЯ ДЕТСКАЯ БОЛЬНИЦА № 1""";445004 г.Тольятти, Центральный район, ул.Лесная, д. 1;Гаршина Светалана Юрьевна, ;Факс: 88482226905, приемная: 22-51-55;glavv@tltgdb.ru ;http://www.tltgdb.ru;
2;"ГБУЗ СО ""ТОЛЬЯТТИНСКАЯ ГОРОДСКАЯ КЛИНИЧЕСКАЯ БОЛЬНИЦА № 2 ИМ.В.В.БАНЫКИНА""";445020 г.Тольятти, Центральный район, ул. Баныкина, д. 8;Сибряев Виталий Юрьевич;Факс: 88482935204, приемная:  93-52-52;04021@mail.miac.samregion.ru ;http://tgb2.ru;
3;"ГБУЗ СО ""ТОЛЬЯТТИНСКАЯ ГОРОДСКАЯ КЛИНИЧЕСКАЯ БОЛЬНИЦА № 1"" ";445009 г.Тольятти, Центральный район, ул. Октябрьская, д. 68;Замулин Максим Александрович;Факс: 88482222463, приемная:  22-24-63;hospital1@mail.ru ;http://hospital-1.ru;
4;"ГБУЗ СО ""ТОЛЬЯТТИНСКАЯ ГОРОДСКАЯ БОЛЬНИЦА № 4""";445046 г.Тольятти, Комсомольский район, ул.Механизаторов, д. 37;Тетюшкин Сергей Николаевич;"Факс: 88482790301, Приемная:
63-00-06
";hosp4tlt@mail.ru ;http://hosp4tlt.ru;
5;"ГБУЗ СО ""ТОЛЬЯТТИНСКАЯ ГОРОДСКАЯ КЛИНИЧЕСКАЯ БОЛЬНИЦА № 5"" ";445039 г.Тольятти, Автозаводский район, б-р Здоровья, д. 25;Ренц Николай Альфредович;Факс: 88482350107, приемная:  79-00-00 ;medvaz@tlt.ru ;http://www.medvaz.tlt.ru;
6;"ГБУЗ СО ""ТОЛЬЯТТИНСКАЯ ГОРОДСКАЯ ПОЛИКЛИНИКА № 1""";445027 г.Тольятти, Автозаводский район, Приморский б-р., д. 24;Шаховская Ирина Николаевна;Факс: 88482348618, приемная: 35-25-86;04026@mail.miac.samregion.ru ;http://pol1-tlt.ru;
7;"ГБУЗ СО ""ТОЛЬЯТТИНСКАЯ ГОРОДСКАЯ КЛИНИЧЕСКАЯ ПОЛИКЛИНИКА № 3""";"445032 г.Тольятти, Автозаводский район, ул.Свердлова, 
д. 82
";Кирасиров Рауф Казымович;"Факс: 88482371189, приемная: 
37-40-40
";mail@polikl3.ru ;www.polikl3.ru;
8;"ГБУЗ СО ""ТОЛЬЯТТИНСКАЯ ГОРОДСКАЯ ПОЛИКЛИНИКА № 2""";"445009 г.Тольятти, Центральный район, 
ул. Горького, д. 61
";Житлов Андрей Геннадьевич;"Факс: 88482220384, приемная: 
 22-09-49 
";pol.gp2@yandex.ru ;www.policlinica2.ru;
9;"ГБУЗ СО ""ТОЛЬЯТТИНСКАЯ ГОРОДСКАЯ ПОЛИКЛИНИКА № 4"" ";445012 г.Тольятти, Комсомольский район, ул. Александра Матросова, д. 19;Кулагин Александр Владимирович;"Факс: 88482935012,  приемная: 
93-51-00 
";04099@mail.miac.samregion.ru ;www.tgp-4.ru;
10;ГБУЗ СО ТОЛЬЯТТИНСКАЯ СТОМАТОЛОГИЧЕСКАЯ ПОЛИКЛИНИКА № 1 ;"445042 г.Тольятти, Автозаводский район, 
ул. Свердлова, д. 9
";Трунин Алексей Александрович;"Факс: 88482935454, приемная: 
93-54-54
";gbuzsotsp1@yandex.ru;http://stomtlt.ru;
