N п/п;Название;Адрес, местоположение, кадастровый номер (при наличии);Зарегистрированные права;Примечание
1;Парк Победы;Территория между ул. Юбилейной, ул. Революционной, ул. Фрунзе, б-ром Приморский, в том числе земельный участок с кадастровым номером 63:09:0101177:5;"Муниципальная собственность, предоставлен на праве постоянного (бессрочного) пользования муниципальному бюджетному учреждению городского округа Тольятти ""Парки города""";
2;Аллея отдыха;"Территория вдоль ул. Революционной от пр-та Ленинского до ТЦ ""Город цветов"", от ул. Революционной до ул. Юбилейной, в том числе земельный участок с кадастровым номером 63:09:0101164:521";Муниципальная собственность;Земельный участок сформирован с точными границами
3;Зона отдыха;Б-р Луначарского, 4, 8 (территория вдоль б-ра Луначарского, до границ жилой застройки);Государственная собственность не разграничена;Территория общего пользования
4;Зона отдыха;Площадка между жилыми домами б-р Курчатова, 10, 12, 3, 5;Государственная собственность не разграничена;Территория общего пользования
5;Зона отдыха;Восточнее дома N 14 по б-ру Гая, в том числе земельный участок с кадастровым номером 63:09:0101150:627;Государственная собственность не разграничена;
6;"Сквер семейного отдыха ""Аллея ветеранов""";Площадка между зданиями N 82, 86 по ул. 40 лет Победы и N 55а, 51 по ул. Автостроителей, в том числе земельный участок с кадастровым номером 63:09:0101151:548;В общей долевой собственности многоквартирного дома ул. 40 лет Победы, 82;
7;Аллея ветеранов Великой Отечественной войны (в честь 60-летия Победы);Б-р Гая, 18;Государственная собственность не разграничена;Территория общего пользования
8;Сквер семейного отдыха;Б-р Кулибина, 2, территория вдоль б-ра Кулибина до границ жилой застройки;Государственная собственность не разграничена;Территория общего пользования
9;Сквер семейного отдыха;Б-р Орджоникидзе, территория вдоль б-ра Орджоникидзе до границ жилой застройки;Государственная собственность не разграничена;Территория общего пользования
10;Сквер семейного отдыха;Территория вдоль б-ра Туполева от пр-та Ленинского до дублера ул. Свердлова до границ жилой застройки;Государственная собственность не разграничена;Территория общего пользования
11;Сквер семейного отдыха;Территория от дома N 12 по ул. Автостроителей, включая бульвар Солнечный до ул. 70 лет Октября;Государственная собственность не разграничена;Территория общего пользования
12;Сквер семейного отдыха;От пр-та Ст. Разина до б-ра Буденного вдоль жилых домов по адресу: пр-т Ст. Разина, 42, ул. Фрунзе, 17, до б-ра Буденного, 1 (лицей N 37);Государственная собственность не разграничена;Территория общего пользования
13;Сквер семейного отдыха;Территория вдоль б-ра Королева до границ жилой застройки;Государственная собственность не разграничена;Территория общего пользования
14;Сквер семейного отдыха;Территория вдоль б-ра Курчатова до зоны жилой застройки (б-р Курчатова, 14, 20, ул. Свердлова, 44);В общей долевой собственности многоквартирного дома б-р Курчатова, 14;Участок не сформирован
15;Сквер семейного отдыха;Б-р Курчатова, восточнее жилого дома N 6, в том числе земельный участок с кадастровым номером 63:09:0101161:569;"Муниципальная собственность, договор аренды N 1788 от 18.08.2008 с ООО ""Парк Сервис""";"Договор аренды N 1788 от 18.08.2008 с ООО ""Парк Сервис"", исключен"
16;Сквер семейного отдыха;Территория вдоль б-ра Гая: от ул. Свердлова до дублера ул. Дзержинского до границ жилой застройки;Государственная собственность не разграничена;
17;Сквер семейного отдыха;Ул. 40 лет Победы, 112, совместно с территорией вдоль школы N 81 от въезда ул. 40 лет Победы, 116 до сквозного проезда;Государственная собственность не разграничена;Территория общего пользования
18;Сквер семейного отдыха;Территория, ограниченная зоной застройки: пр-т Ленинский, 17, 15, 21, пр-т Степана Разина, 32;Государственная собственность не разграничена;Территория общего пользования (спортивная площадка)
19;Сквер семейного отдыха;Ул. Тополиная, 43 (с южной стороны);Государственная собственность не разграничена;Территория общего пользования
20;Сквер семейного отдыха;Ул. 40 лет Победы, 48, в том числе земельный участок с кадастровым номером 63:09:0101154:529;В общей долевой собственности многоквартирного дома;
21;Сквер семейного отдыха;Земельный участок южнее ул. Революционной, 30 до б-ра Баумана;Государственная собственность не разграничена;Территория общего пользования
22;Сквер;Ул. Льва Яшина, 5 (восточнее);Государственная собственность не разграничена;Территория общего пользования
23;Сквер памяти С.Ф. Жилкина;Севернее здания, расположенного по адресу: ул. Революционная, 25, в том числе земельный участок с кадастровым номером 63:09:0101173:509;Муниципальная собственность, договор аренды N 2441 от 20.07.2011 (на 49 лет);
24;"Итальянский сквер с памятным знаком ""Пальмиро Тольятти""";Западнее здания, расположенного по б-ру Приморскому, 37, в том числе земельный участок с кадастровым номером 63:09:0101179:2;"Муниципальная собственность, в бессрочном пользовании у МБОУ ДОД КСДЮСШОР N 13 ""Волгарь""";
25;Сквер семейного отдыха;Б-р Космонавтов, 1 (территория вдоль бульвара Космонавтов до границ жилой застройки);Государственная собственность не разграничена;Территория общего пользования
26;Сквер семейного отдыха;"Территория с южной стороны ТЦ ""Русь на Волге"" от въезда с ул. Фрунзе до ул. Революционной";Государственная собственность не разграничена;Территория общего пользования
27;Сквер;Территория, расположенная между домами N 41 по ул. Свердлова и N 30 по ул. Революционной;Государственная собственность не разграничена;Территория общего пользования
28;Зона отдыха;Территория, расположенная между домами N 36 по пр-ту Ленинскому и N 40, 44 по ул. Революционной;Государственная собственность не разграничена;Территория общего пользования
29;Фонтан;Ул. Автостроителей, 12;Государственная собственность не разграничена;Территория общего пользования
30;Сквер;Территория, расположенная между б-ром Баумана и домом N 36 по пр-ту Ленинскому;Государственная собственность не разграничена;Территория общего пользования
31;Земельный участок рядом с Церковью Покрова Пресвятой Богородицы;Территория севернее и восточнее Церкви Покрова Пресвятой Богородицы, ограниченная ул. Дзержинского, ул. Ворошилова, дублером ул. Ворошилова, б-ром Луначарского до границ Церкви, в том числе земельный участок с кадастровым номером 63:09:0101162:540;Договор безвозмездного срочного пользования N 41 от 09.07.2013;
32;Рекреационная зона;"Территория, расположенная западнее кинотеатра ""Сатурн"" от пересечении ул. Революционной и ул. Свердлова до границ здания N 9а по ул. Революционной. 1. 63:09:0101160:514, 2. Жилой комплекс N 2, 3.63:09:0101160:11 кинотеатр ""Сатурн"" , 4. От ул. Свердлова по ул. Революционной на север, далее на восток до границы земельного участка под кинотеатром ""Сатурн"", на юг до ул. Свердлова, на кадастровом учете не стоит";1. Общая долевая собственность жилого комплекса ул. Революционная, 7, 2. Общая долевая собственность жилого комплекса N 2, 3. Частная собственность, 4.Государственная собственность не разграничена;
33;Земельный участок;Территория, прилегающая к зданию на ул. Свердлова, 11А, по границам: пр-т Ст. Разина, ул. Свердлова, проезд западнее дома N 11 по ул. Свердлова, севернее дома N 23 по пр-ту Ст. Разина, севернее дома N 25 по пр-ту Ст. Разина, по границам внутриквартального проезда, в том числе земельный участок с кадастровым номером 63:09:0101166:609;Частная собственность;
34;Зона отдыха;Территория вдоль бульвара Орджоникидзе, восточнее дома N 26 по пр-ту Ленинскому;Государственная собственность не разграничена;Территория общего пользования
35;Проектирование площади Автозаводского района;"Территория между ул. Революционной, ул. Юбилейной, ул. Фрунзе, МАУ ""ДКиТ"", в том числе:1. В границах: ул. Фрунзе, ул. Революционная до МАУ ""ДКиТ"", вдоль МАУ ""ДКиТ"", ул. Юбилейная, ул. Фрунзе - земельный участок с кадастровым номером 63:09:0101173:515 , 2. Земельный участок 63:09:0101173:509 под зданием МАУ ""ДКиТ""";"1. Не является муниципальной собственностью, договор аренды N 2555 от 14.02.2012 заключен с ЗАО ""Национальные кредитные карточки"", 2. Муниципальная собственность";
36;Лес за территорией городской больницы N 4;Территория леса восточнее планируемой дороги, соединяющей ул. Механизаторов и ул. Кунеевскую;Государственная собственность не разграничена;Земли городских лесов
37;"Территория бывшего кинотеатра ""Маяк"" по улице Коммунистической";Ул. Коммунистическая, 83, в том числе земельный участок с кадастровым номером 63:09:0201059:540;Государственная собственность не разграничена;
38;Земельный участок;Территория, расположенная между ул. Нижнегородской, ул. Параллельной, пр-дом Майским, до границ застройки;Государственная собственность не разграничена;Территория общего пользования
39;Сквер семейного отдыха;Территория, расположенная южнее пересечения ул. Шлюзовой и ул. Железнодорожной, в том числе земельный участок с кадастровым номером 63:09:0201060:14414;"Договор безвозмездного пользования N 54 от 21.08.2014 с ГКУ ""Управление капитального строительства""";
40;"Территория МЦ ""Спутник""";Ул. Коммунистическая, 90, территория между ул. Коммунистической и набережной, по границам продолжения ул. Матросова и планируемого трехъядерного физкультурно-оздоровительного центра;Государственная собственность не разграничена;Территория общего пользования
